ID;Baustoffkonfiguration;Rohdichte;Nutzungsdauer Info;Min. Nutzungsdauer;Min. Nutzungsdauer Info;Mittlere Nutzungsdauer;Mittlere Nutzungsdauer Info;Max. Nutzungsdauer;Max. Nutzungsdauer Info;Faktor Hs/Hi;UUID [A1-3];Prozess [A1-3];Bezugsgröße [A1-3];Einheit [A1-3];UUID [A4];Prozess [A4];Bezugsgröße [A4];Einheit [A4];UUID [B6];Prozess [B6];Bezugsgröße [B6];Einheit [B6];UUID [C3];Prozess [C3];Bezugsgröße [C3];Einheit [C3];UUID [C4];Prozess [C4];Bezugsgröße [C4];Einheit [C4];UUID [D];Prozess [D];Bezugsgröße [D];Einheit [D];Modifiziert;Umrechnungsfaktoren
17786;1 kWh Endenergie aus Gas Brennwert (entspr. EnEV);;;;;;;;;;;;;;;;;;6167bec3-0bc2-425a-9c87-479fa310f8f2;8.06 Nutzung - 1 kWh Endenergie aus Gas Brennwert (entspr. EnEV);3,6;MJ;;;;;;;;;;;;;;3,60 MJ/kWh
17787;1 kWh Endenergie aus Gas Niedertemperatur (entspr. EnEV);;;;;;;;;;;;;;;;;;e58a3c28-4818-43e3-9e72-f08267926613;8.06 Nutzung - 1 kWh Endenergie aus Gas Niedertemperatur (entspr. EnEV);3,6;MJ;;;;;;;;;;;;;;3,60 MJ/kWh
17788;1 kWh Endenergie aus Hackschnitzeln (entspr. EnEV);;;;;;;;;;;;;;;;;;7f3b568f-5f70-41b1-a4d0-556349661d7a;8.06 Nutzung - 1 kWh Endenergie aus Hackschnitzeln (entspr. EnEV);3,6;MJ;;;;;;;;;;;;;;3,60 MJ/kWh
17789;1 kWh Endenergie aus Holzpellets (entspr. EnEV);;;;;;;;;;;;;;;;;;fb11f8ce-d3c7-4823-ba13-0c1f4a304799;8.06 Nutzung - 1 kWh Endenergie aus Holzpellets (entspr. EnEV);3,6;MJ;;;;;;;;;;;;;;3,60 MJ/kWh
17790;1 kWh Endenergie aus Öl Niedertemperatur und Brennwert (entspr. EnEV);;;;;;;;;;;;;;;;;;63854c13-11d1-4f97-ad97-052ecd3e6e3d;8.06 Nutzung - 1 kWh Endenergie aus Öl Niedertemperatur und Brennwert (entspr. EnEV);3,6;MJ;;;;;;;;;;;;;;3,60 MJ/kWh
16907;3- und 5-Schicht Massivholzplatte (Durchschnitt DE);510,45;;50;;;;;;;6f6fdc0b-4163-4f99-92cb-7b9e3008bae4;3.02 3- und 5-Schicht Massivholzplatte (Durchschnitt DE);1;m3;;;;;;;;;6f6fdc0b-4163-4f99-92cb-7b9e3008bae4;3.02 3- und 5-Schicht Massivholzplatte (Durchschnitt DE);1;m3;;;;;6f6fdc0b-4163-4f99-92cb-7b9e3008bae4;3.02 3- und 5-Schicht Massivholzplatte (Durchschnitt DE);1;m3;;510,45 kg/m3
17759;Abstandhalter - Ensinger GmbH - Thermix Low Psi;1205,2;;;;;;;;;7d08d67b-f4e2-4a53-9672-f3b498bfd045;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi;1;kg;;;;;;;;;7d08d67b-f4e2-4a53-9672-f3b498bfd045;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi;1;kg;7d08d67b-f4e2-4a53-9672-f3b498bfd045;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi;1;kg;7d08d67b-f4e2-4a53-9672-f3b498bfd045;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi;1;kg;;"0,05 kg/m; 1205,20 kg/m3"
17758;Abstandhalter - Ensinger GmbH - Thermix Low Psi RE;1205,2;;;;;;;;;fc1cd6bc-43e7-467b-a614-65474528a266;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi RE;1;kg;;;;;;;;;fc1cd6bc-43e7-467b-a614-65474528a266;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi RE;1;kg;fc1cd6bc-43e7-467b-a614-65474528a266;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi RE;1;kg;fc1cd6bc-43e7-467b-a614-65474528a266;7.03 Abstandhalter - Ensinger GmbH - Thermix Low Psi RE;1;kg;;"1205,20 kg/m3; 0,05 kg/m"
17760;Abstandhalter - Ensinger GmbH - Thermix TX Pro;3970,5;;;;;;;;;ab11dcf1-748d-4430-a676-2577f1436b3d;7.03 Abstandhalter - Ensinger GmbH - Thermix TX Pro;1;kg;;;;;;;;;ab11dcf1-748d-4430-a676-2577f1436b3d;7.03 Abstandhalter - Ensinger GmbH - Thermix TX Pro;1;kg;ab11dcf1-748d-4430-a676-2577f1436b3d;7.03 Abstandhalter - Ensinger GmbH - Thermix TX Pro;1;kg;ab11dcf1-748d-4430-a676-2577f1436b3d;7.03 Abstandhalter - Ensinger GmbH - Thermix TX Pro;1;kg;;"0,06 kg/m; 3970,50 kg/m3"
15152;Abwasserrohr ABS;1050;;50;;;;;;;9fcc1331-0b4f-4c52-a5fc-e42d25c601dd;6.01 Abwasserrohr ABS;1;kg;;;;;;;;;9fcc1331-0b4f-4c52-a5fc-e42d25c601dd;6.01 Abwasserrohr ABS;1;kg;;;;;9fcc1331-0b4f-4c52-a5fc-e42d25c601dd;6.01 Abwasserrohr ABS;1;kg;;1050,00 kg/m3
