UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing;life span;Anmerkungen
9a08692a-8a66-4210-b02b-6a229c195af4;00.04.000;Schichtstoff Flammex;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;specific dataset;1;m3;ec16964d-f340-4384-415d-d022059657a5;"1 m² Schichtstoff Flammex (1.080 kg/m²) Additional Info from Xml: Produktbeschreibung EGGER Schichtstoffe Flammex sind dekorative Schichtstoffe auf Basis härtbarer Harze (Schichtpressstoffe). Schichtpressstoffe bestehen aus Zellulosefaserbahnen (Papier), die mit wärmehärtenden Harzen imprägniert sind. Sie sind mehrschichtig aufgebaut und bestehen aus melaminharzimprägniertem Dekorpapier und einem oder mehreren mit Phenolharz imprägnierten Natronkraftpapier/-en, die unter hohem Druck und Wärme miteinander verpresst werden. Die Schichtstoffqualität Flammex kann gemäß Norm /EN 438:2005/ als Schichtstofftype F –Flammenhemmend klassifiziert werden. Schichtstoff Flammex wird im Brandfall den speziellen Anforderungen der Baustoffklasse B1, gemäß /DIN 4102-1: 1998-05/ sowie der französischen Brandverhaltensklasse M1, gemäß /NF P92-501/, gerecht. Der Schichtstoffaufbau, die Harz- und Papierqualitäten, die Oberflächenstrukturen, die Verwendung spezieller Overlays sowie die Pressparameter bei der Herstellung entscheiden über die Schichtstoffqualität und somit über die spätere Anwendung bzw. das Einsatzgebiet. Herstellung EGGER Schichtstoffe werden ausschließlich kontinuierlich hergestellt. Mittels Doppelbandpressen ist es möglich, unterschiedliche Schichtstoffdicken und Qualitäten endlos herzustellen. Diese Art der Schichtstoffherstellung bzw. -qualität wird im Allgemeinen als CPL (Continuous Pressed Laminates) bezeichnet. Abhängig vom Herstelldruck werden EGGER Schichtstoffe gemäß oder in Anlehnung an /EN 438-3:2005/ hergestellt. Die Schichtstoffe bestehen aus Schichten von Zellulosefaserstoffbahnen (üblicherweise Papier), die mit härtbaren Harzen imprägniert sind. Die mit dekorativen Farben oder Mustern versehene(n) einseitige(n) Deckschicht(en) ist (sind) mit Harzen auf Melaminbasis imprägniert. Die Kernschichten sind mit Phenolharzen imprägniert. Die Zufuhr von Wärme und Druck bewirkt ein Fließen und anschließendes Aushärten der Harze. Durch die Vernetzung der Harze, verstärkt durch die Zellulosefasern der Papiere, entsteht ein sehr dichtes Material mit geschlossener Oberfläche. Technische Daten: EGGER Schichtstoff Flammex wird gemäß der in der /EN438-2:2016/ beschriebenen Prüfverfahren geprüft und erfüllt die in /EN 438-3:2016/ beschriebenen Anforderungen. Im technischen Datenblatt ""EGGER Schichtstoff Flammex"" finden Sie ausführliche Informationen zu den Qualitätsmerkmalen und Produkteigenschaften. www.egger.com/schichtstoffe Deklarierte Einheit: Die deklarierte Einheit ist ein Quadratmeter Schichtstoff Flammex 0,8 mm (1,080 kg/m2).";;1,08;1350;0,08;;;;true;false;true;true;50;wie GK
f381434d-68f3-41f5-990b-7c44b34383e7;00.04.000;Schichtstoff mit farbigem Kern;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;specific dataset;1;m3;98b356c2-387b-0776-5ca6-4a14d68d3d75;"1 m² Schichtstoff mit farbigem Kern (1.080 kg/m²) Additional Info from Xml: EGGER Schichtstoff mit farbigem Kern ist ein dekorativer Schichtstoff auf Basis härtbarer Harze (Schichtpressstoffe). Dieser Schichtpressstoff besteht aus Zellulosefaserbahnen (Papier), die mit wärmehärtenden Harzen imprägniert sind. Er ist mehrschichtig aufgebaut und besteht aus mehreren melaminharzimprägniertem Dekorpapieren, die unter hohem Druck und Wärme miteinander verpresst werden. EGGER Schichtstoffe werden ausschließlich kontinuierlich hergestellt. Mittels Doppelbandpressen ist es möglich, unterschiedliche Schichtstoffdicken und Qualitäten endlos herzustellen. Diese Art der Schichtstoffherstellung bzw. -qualität wird im Allgemeinen als CPL (Continuous Pressed Laminates) bezeichnet. Abhängig vom Herstelldruck werden EGGER Schichtstoffe gemäß oder in Anlehnung an /EN 438-9:2010/ hergestellt. Die Schichtstoffe bestehen aus Schichten von Zellulosefaserstoffbahnen (üblicherweise Papier), die mit härtbaren Harzen imprägniert sind. Die einzelnen Papierschichten sind mit Harzen auf Melaminbasis imprägniert. Die Zufuhr von Wärme und Druck bewirkt ein Fließen und anschließendes Aushärten der Harze. Durch die Vernetzung der Harze, verstärkt durch die Zellulosefasern der Papiere, entsteht ein sehr dichtes Material mit geschlossener Oberfläche. Technische Daten: EGGER Schichtstoff mit farbigem Kern wird gemäß der in der /EN438-2:2016/ beschriebenen Prüfverfahren geprüft und erfüllt die in /EN 438-9:2010+A1/ beschriebenen Anforderungen. Im technischen Datenblatt ""EGGER Schichtstoff mit farbigem Kern"" finden Sie ausführliche Informationen zu den Qualitätsmerkmalen und Produkteigenschaften. www.egger.com/schichtstoffe Deklarierte Einheit: Die deklarierte Einheit ist ein Quadratmeter Schichtstoff mit farbigem Kern 0,8 mm (1,080 kg/m2).";;1,08;1350;0,08;;;;true;false;true;true;50;wie GK
1a24710c-72fe-43f6-8df3-a1adb2637f40;00.05.000;Multipor Mineraldämmplatte;Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;average dataset;1;m3;88c0a2ff-a016-f7d3-5c0d-795f93dc4c05;1 m³ Multipor Additional Info from Xml: Sandmehl 25-40 M-% Zement 25-50 M-% Branntkalk 5-25 M-% Anhydrit/Gips 3-7 M-% Mineralischer Zuschlag 10-20 M-% Aluminium als Porenbildner 0,7-0,8 M-% //Herstellung: Der gemahlene Quarzsand wird mit den anderen Grundstoffen unter Zugabe von Wasser und Aluminiumpaste, in einem Mischer zu einer Rohmasse gemischt und in Gießformen gegossen. Das Wasser löscht unter Wärmeentwicklung den Kalk. Das Aluminium reagiert im alkalischen Milieu. Dabei bildet sich gasförmiger Wasserstoff, der die Poren in der Masse erzeugt und ohne Rückstände entweicht. Die Poren besitzen meist einen Durchmesser von 0,5 – 1,5 mm und sind ausschließlich mit Luft gefüllt. Nach dem ersten Abbinden entstehen halbfeste Rohblöcke, aus denen maschinell und mit hoher Genauigkeit die Dämmplatten geschnitten werden. Die Ausbildung der endgültigen Eigenschaften der Bauteile erfolgt während der anschließenden Dampfhärtung über 5 – 12 Stunden bei etwa 190 °C und einem Druck von ca. 12 bar in Dampfdruckkesseln, den sog. Autoklaven. Hier bilden sich aus den eingesetzten Stoffen Calcium- Silikathydrate, die dem in der Natur vorkommenden Mineral Tobermorit entsprechen. Die Reaktion des Materials ist mit der Entnahme aus dem Autoklaven abgeschlossen. Der Dampf wird nach Abschluss des Härtungsprozesses für weitere Autoklavzyklen verwandt. Das anfallende Kondensat wird als Prozesswasser genutzt. Auf diese Weise wird Energie eingespart und es fällt kein Abwasser an. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m³ Multipor Mineraldämmplatten mit einer durchschnittlichen Rohdichte von 115 kg/m³. Hierbei handelt es sich um unbewehrten Porenbeton.;;;115;;;;;true;false;true;false;50;wie GK
6405878c-ed34-4bee-b100-5208a3212ec6;20.19.120;Calziumsilikatplatte;Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;generic dataset;1;m3;3f3cccff-6d7e-45ae-8b54-655a719eb3d5;DE: Calcium silicate board [m3];;;225;;;;;true;true;true;true;50;wie GK
b50fa992-e435-455a-8dfe-82254e9f4f48;20.19.120;Expandierter Kork;Dämmstoffe / Expandierter Kork / Expandierter Kork;generic dataset;1;m3;2d09af2f-394d-41c6-99ae-739c43e03279;Expandierter Kork (m3);;;80;;;;;true;true;false;true;50;pauschal für alle Dämmstoffe angenommen
32a6bd28-a244-4e5e-8ae1-11eced62c58e;00.05.000;JACKOBOARD®;Dämmstoffe / Extrudiertes Polystyrol (XPS) / XPS weiß;average dataset;1;m3;b9c6eef6-2b93-29cf-e361-be1808295fc1;1 m² JACKOBOARD-Platte mit 20 mm Dicke (3,42 kg/m²) Additional Info from Xml: XPS wird in einem kontinuierlichen Extrusionsprozess mit Strom als Hauptenergieträger hergestellt. Polystyrol-Granulat wird zusammen mit den genannten Hilfsstoffen im Extruder unter hohem Druck aufgeschmolzen. Das Treibmittel wird der Schmelze hinzugegeben und in ihr gelöst. Die Schmelze wird durch eine Breitschlitzdüse ausgetragen. Durch den dabei abfallenden Gegendruck schäumt das Treibmittel die Schmelze auf, kühlt diese dabei ab und das Polystyrol verfestigt sich. Es entsteht ein endloser Strang aus homogenem und geschlossenzelligem Polystyrolhartschaum. Dieser wird weiter abgekühlt und die Extrusionshaut entfernt. Zur Mörtelbeschichtung wird der Mörtel mit Wasser angemischt und zusammen mit dem Glasgewebe auf den XPS-Kern aufgebracht, getrocknet und die Platten abschließend dimensioniert. Diese werden palettiert in Polyethylen-Folie verpackt. XPS aus Produktionsabschnitten und Produktionsausschuss kann direkt in der Produktion rezykliert und wieder zur Produktion von XPS eingesetzt. Polystyrol ist ein thermoplastisches Material und kann deshalb einfach und kostengünstig durch Aufschmelzen rezykliert werden. Deklarierte Einheit: Diese Deklaration bezieht sich auf 1 m² JACKOBOARD Platte, bestehend aus einer 18,5 mm starken XPS-Platte und beidseitiger Beschichtung mit Glasarmierungsgewebe und Mörtel von je 0,75 mm Stärke. Das Flächengewicht beträgt 3,42 kg/m².;;;170;;;;;true;false;true;true;50;
76d3f78a-8743-49fe-b4a1-f43b819cb930;20.19.120;Holzwolle-Leichtbauplatte;Dämmstoffe / Holzwolleplatten / Holzwolleleichtbauplatten;generic dataset;1;m3;a46dc0c9-913b-4c27-b83f-79a86aca20ce;Holzwolle-Leichtbauplatte (m3);;;360;;;;;true;true;false;true;50;
601af947-1f14-474d-8233-780715a12268;20.19.120;Einblasdämmung Mineralwolle;Dämmstoffe / Mineralwolle / Mineralwolle;generic dataset;1;m3;f43e7002-2bf1-48be-817c-18bc93a199c4;Mineralwolle (m3);;;50;;;;;true;true;true;false;50;
fafd5743-0b42-4614-8e3d-5c4eacdfba98;20.20.020;Mineralwolle (Innenausbau-Dämmung);Dämmstoffe / Mineralwolle / Mineralwolle;generic dataset;1;m3;84af0ec3-c0c6-427f-b6ac-6567b7a09416;Mineralwolle (Innenausbau-Dämmung) (m3);;;26,25;;;;;true;true;true;false;50;
86380db6-3062-4d40-826d-732c24ed3cad;20.20.020;Mineralwolle (Schrägdach-Dämmung);Dämmstoffe / Mineralwolle / Mineralwolle;generic dataset;1;m3;fb8bbdb6-4231-4994-ab8b-10ac60e3c64d;Mineralwolle (Schrägdach-Dämmung) (m3);;;30;;;;;true;true;true;false;50;
