UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;EstimatedThickness (kein genauer Wert!!);Ergänzt;Quelle;Anmerkungen
7baed44c-c80b-4340-b3af-f01d71fbbb43;20.19.120;Kalkfarbe;Beschichtungen / Innenbeschichtungen / Innenfarben;generic dataset;1;qm;3b483203-0b16-4031-b2f6-dbc9a589073c;Kalkfarbe (Innenbereich, wasserbasiert) Additional Info from Xml: Es wurde eine Kalkfarbe bestehend aus gelöschtem Kalk (Calzium Hydroxid), Wasser, sowie geringe Mengen Wasserglas und Titandioxid bilanziert. Die Ökobilanz wird durch die Vorkette des gelöschten Kalks dominiert.Hintergrundsystem:Strom: Die Stromerzeugung wird entsprechend der länderspezifischen Randbedingungen modelliert. Die landesspezifische Analyse beinhaltet:1.: Spezifische Kraftwerke der verschiedenen fossilen Energieträger und der Einsatz erneuerbarer Energien sind entsprechend der länderspezifischen Energieträgermixe modelliert. Die Analyse bezieht Stromimporte aus den Nachbarländern, Transmissions-und Verteilungsverluste und den Eigenverbrauch im Kraftwerk und bei der Verteilung bzw. Speicherung, z. B. durch Pumpspeicherwerke, ein.2.: Die landes-/regionalspezifischen Technologiestandards sowie die Erzeugung in Elektrizitätskraftwerken und/oder in speziellen Kraftwerken mit Kraft-Wärme-Kopplung (KWK) sind berücksichtigt. 3.: Die länderspezifische Energieträgerbereitstellung (mit Anteil der Importe und/oder Eigenversorgung) einschließlich der Energieträger-Eigenschaften (z. B. Elementar- und Energiegehalte) werden berücksichtigt. 4.: Die Förderung, Produktion, Verarbeitung und Transportprozesse werden entsprechend der Situation im jeweiligen Stromerzeugerland modelliert. Die unterschiedlichen Produktions- und Verarbeitungsverfahren (Emissionen und Wirkungsgrade) in den verschiedenen Energieerzeugerländern werden einbezogen, z. B. Rohöl-Veredelungsverfahren oder Abfackel-Raten an den Ölplattformen.Thermische Energie, Prozessdampf: Die Erzeugung von Dampf und thermischer Energie in Heizkraftwerken wird entsprechend der landesspezifischen Situation (Emissionsgrenzwerte, Energieträgerbasis) modelliert.Der Wirkungsgrad für die thermische Energieerzeugung beträgt per Definition 100% des Energieträgereinsatzes. Für Prozessdampf liegt der Wirkungsgrad im Bereich von 85-95%. Die zur Heizenergie-Erzeugung verwendeten Energieträger werden entsprechend der nationalen Situation modelliert (siehe Kapitel Strom oben).Transporte: Alle relevanten und bekannten Transportprozesse in Form von See- und Binnenschiffsverkehr sowie Bahn-, Lkw- und der Leitungstransport sind enthalten.Energieträger: Die Energieträger werden entsprechend der spezifischen Versorgungslage modelliert (siehe Kapitel Strom oben). Raffinerieprodukte: Diesel, Benzin, technische Gase, Heizöl, Schmierstoffe und Rückstände, wie Bitumen, werden mit einem parametrierten länderspezifische Raffineriemodell modelliert. Das Raffinerie-Modell bezieht die länderspezifischen Veredelungsverfahren (z. B. Emissionspegel, interner Energieverbrauch etc.) und das länderspezifische Produktspektrum ein, das sich je nach Land stark unterscheiden kann. Die Rohöl-Förderung wird gemäß der länderspezifischen Situation mit den jeweiligen Energieträger-Eigenschaften modelliert.;;0,2;;;;;;0,0001;EstimatedThickness;Abschätzung;
9a08692a-8a66-4210-b02b-6a229c195af4;00.04.000;Schichtstoff Flammex;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;specific dataset;1;qm;ec16964d-f340-4384-415d-d022059657a5;"1 m² Schichtstoff Flammex (1.080 kg/m²) Additional Info from Xml: Produktbeschreibung EGGER Schichtstoffe Flammex sind dekorative Schichtstoffe auf Basis härtbarer Harze (Schichtpressstoffe). Schichtpressstoffe bestehen aus Zellulosefaserbahnen (Papier), die mit wärmehärtenden Harzen imprägniert sind. Sie sind mehrschichtig aufgebaut und bestehen aus melaminharzimprägniertem Dekorpapier und einem oder mehreren mit Phenolharz imprägnierten Natronkraftpapier/-en, die unter hohem Druck und Wärme miteinander verpresst werden. Die Schichtstoffqualität Flammex kann gemäß Norm /EN 438:2005/ als Schichtstofftype F –Flammenhemmend klassifiziert werden. Schichtstoff Flammex wird im Brandfall den speziellen Anforderungen der Baustoffklasse B1, gemäß /DIN 4102-1: 1998-05/ sowie der französischen Brandverhaltensklasse M1, gemäß /NF P92-501/, gerecht. Der Schichtstoffaufbau, die Harz- und Papierqualitäten, die Oberflächenstrukturen, die Verwendung spezieller Overlays sowie die Pressparameter bei der Herstellung entscheiden über die Schichtstoffqualität und somit über die spätere Anwendung bzw. das Einsatzgebiet. Herstellung EGGER Schichtstoffe werden ausschließlich kontinuierlich hergestellt. Mittels Doppelbandpressen ist es möglich, unterschiedliche Schichtstoffdicken und Qualitäten endlos herzustellen. Diese Art der Schichtstoffherstellung bzw. -qualität wird im Allgemeinen als CPL (Continuous Pressed Laminates) bezeichnet. Abhängig vom Herstelldruck werden EGGER Schichtstoffe gemäß oder in Anlehnung an /EN 438-3:2005/ hergestellt. Die Schichtstoffe bestehen aus Schichten von Zellulosefaserstoffbahnen (üblicherweise Papier), die mit härtbaren Harzen imprägniert sind. Die mit dekorativen Farben oder Mustern versehene(n) einseitige(n) Deckschicht(en) ist (sind) mit Harzen auf Melaminbasis imprägniert. Die Kernschichten sind mit Phenolharzen imprägniert. Die Zufuhr von Wärme und Druck bewirkt ein Fließen und anschließendes Aushärten der Harze. Durch die Vernetzung der Harze, verstärkt durch die Zellulosefasern der Papiere, entsteht ein sehr dichtes Material mit geschlossener Oberfläche. Technische Daten: EGGER Schichtstoff Flammex wird gemäß der in der /EN438-2:2016/ beschriebenen Prüfverfahren geprüft und erfüllt die in /EN 438-3:2016/ beschriebenen Anforderungen. Im technischen Datenblatt ""EGGER Schichtstoff Flammex"" finden Sie ausführliche Informationen zu den Qualitätsmerkmalen und Produkteigenschaften. www.egger.com/schichtstoffe Deklarierte Einheit: Die deklarierte Einheit ist ein Quadratmeter Schichtstoff Flammex 0,8 mm (1,080 kg/m2).";;1,08;1350;0,0008;;;0,926;;Schichtdicke;Referenz-Flussname;
f381434d-68f3-41f5-990b-7c44b34383e7;00.04.000;Schichtstoff mit farbigem Kern;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;specific dataset;1;qm;98b356c2-387b-0776-5ca6-4a14d68d3d75;"1 m² Schichtstoff mit farbigem Kern (1.080 kg/m²) Additional Info from Xml: EGGER Schichtstoff mit farbigem Kern ist ein dekorativer Schichtstoff auf Basis härtbarer Harze (Schichtpressstoffe). Dieser Schichtpressstoff besteht aus Zellulosefaserbahnen (Papier), die mit wärmehärtenden Harzen imprägniert sind. Er ist mehrschichtig aufgebaut und besteht aus mehreren melaminharzimprägniertem Dekorpapieren, die unter hohem Druck und Wärme miteinander verpresst werden. EGGER Schichtstoffe werden ausschließlich kontinuierlich hergestellt. Mittels Doppelbandpressen ist es möglich, unterschiedliche Schichtstoffdicken und Qualitäten endlos herzustellen. Diese Art der Schichtstoffherstellung bzw. -qualität wird im Allgemeinen als CPL (Continuous Pressed Laminates) bezeichnet. Abhängig vom Herstelldruck werden EGGER Schichtstoffe gemäß oder in Anlehnung an /EN 438-9:2010/ hergestellt. Die Schichtstoffe bestehen aus Schichten von Zellulosefaserstoffbahnen (üblicherweise Papier), die mit härtbaren Harzen imprägniert sind. Die einzelnen Papierschichten sind mit Harzen auf Melaminbasis imprägniert. Die Zufuhr von Wärme und Druck bewirkt ein Fließen und anschließendes Aushärten der Harze. Durch die Vernetzung der Harze, verstärkt durch die Zellulosefasern der Papiere, entsteht ein sehr dichtes Material mit geschlossener Oberfläche. Technische Daten: EGGER Schichtstoff mit farbigem Kern wird gemäß der in der /EN438-2:2016/ beschriebenen Prüfverfahren geprüft und erfüllt die in /EN 438-9:2010+A1/ beschriebenen Anforderungen. Im technischen Datenblatt ""EGGER Schichtstoff mit farbigem Kern"" finden Sie ausführliche Informationen zu den Qualitätsmerkmalen und Produkteigenschaften. www.egger.com/schichtstoffe Deklarierte Einheit: Die deklarierte Einheit ist ein Quadratmeter Schichtstoff mit farbigem Kern 0,8 mm (1,080 kg/m2).";;1,08;1350;0,0008;;;0,926;;Schichtdicke;Referenz-Flussname;
279613ea-381d-414d-9d35-a7622c3d4bf9;;WDVS mit EPS Dämmplatte geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;1;qm;;1 m² WDVS, EPS geklebt, mit 160 mm Dämmstoffdicke, 13,8 kg/m²;;13,8;;0,16;;;72;;Schichtdicke;Referenzfluss-Name;
8d6e3557-1c45-458e-a7cd-2964d6339c7e;;WDVS mit EPS geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;1;qm;;1 m² WDVS EPS geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 14,1 kg/m²;;14,1;;0,16;;;71;;Schichtdicke;Referenzfluss-Name;
cc522095-42b9-49ef-ae6e-2d39cd851513;;WDVS mit Mineralfaser Dämmplatte geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;1;qm;;1 m² WDVS Mineralwolle, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 30,6 kg/m²;;30,6;;0,16;;;33;;Schichtdicke;Referenzfluss-Name;
3110be3a-bfc8-4c7b-96aa-b52cfe037f6d;;WDVS mit Mineralfaser Lamellen- Dämmplatten geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;1;qm;;1 m² WDVS Mineralwolle-Lamelle geklebt, mit 180 mm Dämmstoffdicke, 31,1 kg/m²;;31,1;;0,18;;;32;;Schichtdicke;Referenzfluss-Name;
fa3a0f7d-842b-4161-a83e-04c690248185;;WDVS mit Schienenbefestigung;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;1;qm;;1 m² WDVS EPS mit Schiene, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 10,9 kg/m²;;10,9;;0,16;;;92;;Schichtdicke;Referenzfluss-Name;
18e5028c-9327-4429-92da-eb90ee5d05cc;;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;1;qm;;1 m² Glasarmierungsgitter (Flächengewicht 160 g/m²) Additional Info from Xml: Glasarmierungsgitter sind flächige Gitterstrukturen aus in Längs- und Querrichtung angeordneten Glasfäden, die mit einer Schiebefestausrüstung auf Kunststoffbasis versehen werden. Die bei Vitrulan Technical Textiles GmbH produzierten Glasarmierungsgitter weisen je nach Artikel ein Flächengewicht von 50 bis 480 g/m2 auf. Dieser Datensatz bezieht sich auf ein typisches WDVS-Glasarmierungsgitter mit einem Flächengewicht von 160 g/m2. Glasarmierungsgitter finden Anwendung sowohl im Außenbereich für Wärmedämmverbundsysteme als auch im Innenbereich. Die Herstellung eines Glasarmierungsgitters erfolgt üblicherweise auf einer Webmaschine. Dabei werden die Fäden des sog. Kettbaumes in einer festgelegten Reihenfolge in Längsrichtung der Webmaschine zugeführt. Im Bereich des sog. Schusseintrags wird diese Fadenschar rechtwinklig mit mindestens einem weiteren Fadensystem (Querfäden) verkreuzt. Die so erzeugte Fläche (= Rohgewebe) wird in einem nachfolgenden Verarbeitungsschritt an einer Beschichtungsanlage mit Kunststoffdispersionen gecoated, anschließend getrocknet und chemisch vernetzt. Konfektionierung und Verpackung schließen den Herstellprozess ab. Technische Daten: Folgende Angaben beziehen sich auf ein typisches WDVS-Glasarmierungsgitter mit 160 g/m2 Flächengewicht. Deklarierte Einheit: Diese Ökobilanz bezieht sich auf 1 m² Glasarmierungsgitter mit einem Flächengewicht von 160 g/m². Es handelt sich hierbei um ein repräsentatives Produkt.;;0,16;;0,0005;;;6,25;;Schichtdicke;Aus der EPD2.5 Lieferzustand Glasarmierungsgitter werden wie folgt beschrieben: Flächengewicht [g/m²]: Ø160 Dicke [mm]: 0,5 Maschenöffnung [mm x mm]: 3,5 x 4,0 Rollenbreite [cm]: 50 – 320 Rollenlänge [m]: Standard 50;
e5cd5727-a516-4081-8fdf-4fc0ce142d90;20.20.020;WDVS Verklebung und Beschichtung Kratzputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;generic dataset;1;qm;f5c84fb0-e0af-44c3-8013-240c39cb07e6;WDVS Verklebung und Beschichtung Kratzputz mineralisch Additional Info from Xml: Bei dem WDVS handelt es sich um ein Außenwand-Dämmsystem. Das Dämmmaterial und das Wandmaterial sind nicht im Prozess berücksichtigt. Das System weist folgende Spezifikationen auf: Außenwand-Dämmsystem Mineralischer Kratzputz: Kleber (mineralisch) 4,0 kg/m2, Glasgewebe 0,18 kg/m2, Armierung (mineralisch) 8,0 kg/m2, Kratzputz (mineralisch) 23,0 kg/m2. Dieser Datensatz umfasst die Lebenswegabschnitte cradle to gate, d.h. die Herstellung von Vorprodukten und Verpackungen ist  berücksichtigt. Hintergrundsystem:Strom: Die Stromerzeugung wird entsprechend der länderspezifischen Randbedingungen modelliert. Die landesspezifische Analyse beinhaltet:1.: Spezifische Kraftwerke der verschiedenen fossilen Energieträger und der Einsatz erneuerbarer Energien sind entsprechend der länderspezifischen Energieträgermixe modelliert. Die Analyse bezieht Stromimporte aus den Nachbarländern, Transmissions-und Verteilungsverluste und den Eigenverbrauch im Kraftwerk und bei der Verteilung bzw. Speicherung, z. B. durch Pumpspeicherwerke, ein.2.: Die landes-/regionalspezifischen Technologiestandards sowie die Erzeugung in Elektrizitätskraftwerken und/oder in speziellen Kraftwerken mit Kraft-Wärme-Kopplung (KWK) sind berücksichtigt. 3.: Die länderspezifische Energieträgerbereitstellung (mit Anteil der Importe und/oder Eigenversorgung) einschließlich der Energieträger-Eigenschaften (z. B. Elementar- und Energiegehalte) werden berücksichtigt. 4.: Die Förderung, Produktion, Verarbeitung und Transportprozesse werden entsprechend der Situation im jeweiligen Stromerzeugerland modelliert. Die unterschiedlichen Produktions- und Verarbeitungsverfahren (Emissionen und Wirkungsgrade) in den verschiedenen Energieerzeugerländern werden einbezogen, z. B. Rohöl-Veredelungsverfahren oder Abfackel-Raten an den Ölplattformen.Thermische Energie, Prozessdampf: Die Erzeugung von Dampf und thermischer Energie in Heizkraftwerken wird entsprechend der landesspezifischen Situation (Emissionsgrenzwerte, Energieträgerbasis) modelliert.Der Wirkungsgrad für die thermische Energieerzeugung beträgt per Definition 100% des Energieträgereinsatzes. Für Prozessdampf liegt der Wirkungsgrad im Bereich von 85-95%. Die zur Heizenergie-Erzeugung verwendeten Energieträger werden entsprechend der nationalen Situation modelliert (siehe Kapitel Strom oben).Transporte: Alle relevanten und bekannten Transportprozesse in Form von See- und Binnenschiffsverkehr sowie Bahn-, Lkw- und der Leitungstransport sind enthalten.Energieträger: Die Energieträger werden entsprechend der spezifischen Versorgungslage modelliert (siehe Kapitel Strom oben). Raffinerieprodukte: Diesel, Benzin, technische Gase, Heizöl, Schmierstoffe und Rückstände, wie Bitumen, werden mit einem parametrierten länderspezifische Raffineriemodell modelliert. Das Raffinerie-Modell bezieht die länderspezifischen Veredelungsverfahren (z. B. Emissionspegel, interner Energieverbrauch etc.) und das länderspezifische Produktspektrum ein, das sich je nach Land stark unterscheiden kann. Die Rohöl-Förderung wird gemäß der länderspezifischen Situation mit den jeweiligen Energieträger-Eigenschaften modelliert.;;35,18;;;;;;;;;
