Kategorie;Wärmeleitfähigkeit relevant;Bemessungswert der Wärmeleitfähigkeit [W/(m*K)];Kommentar/Quelle
Beschichtungen / Fassadenfarben / Dispersion;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Fassadenfarben / Silikat-Dispersion;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Fassadenfarben / Silikonharz;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Innenbeschichtungen / Innenfarben;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;o;;irrelevant da schichtdicke zu dünn
Beschichtungen / Lacke und Lasuren / Parkettlack;o;;irrelevant da schichtdicke zu dünn
Dämmstoffe / Baumwolle / Baumwolle konventionell;x;0,04;Klimahaus
Dämmstoffe / Baumwolle / Baumwolle ökologisch;x;0,04;Klimahaus
Dämmstoffe / Blähperlit / Platten;x;0,059;DIN 4108
Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;x;0,06;Klimahaus
Dämmstoffe / Expandierter Kork / Expandierter Kork;x;0,055;DIN 4108
Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS grau;x;0,035;DIN 4108
Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS weiß;x;0,035;DIN 4108
Dämmstoffe / Extrudiertes Polystyrol (XPS) / XPS weiß;x;0,035;DIN 4108
Dämmstoffe / Flachsfaser / Vlies;x;0,039;Fachverband nachwachsende Rohstoffe
Dämmstoffe / Hanffaser / Vlies;x;0,043;Fachverband nachwachsende Rohstoffe
Dämmstoffe / Holzfasern / Holzfaserdämmplatte;x;0,049;DIN 4108
Dämmstoffe / Holzfasern / Holzfasern und Holzspäne, lose;x;0,049;DIN 4108
Dämmstoffe / Holzwolleplatten / Holzwolleleichtbauplatten;x;0,084;DIN 4108
