Kategorie;KG;Zusatzinfo;Bauweise;Anmerkungen;verwendbar für frühe Planungsphasen
Beschichtungen / Fassadenfarben / Dispersion;335B;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Beschichtungen / Fassadenfarben / Silikat-Dispersion;335B;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Beschichtungen / Fassadenfarben / Silikonharz;335B;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Beschichtungen / Grundierungen / Grundierungen Farben und Putze;;;;Grundierung: nähere Eingrenzung in den Datensätzen;o
Beschichtungen / Innenbeschichtungen / Innenfarben;336, 345, 354, 364;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;336, 345, 354, 364;Finish;Holz, Hybrid, MW, StB, Stahl;nur auf Trägermaterial Holzwerkstoff;x
Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;335B;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;334;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Beschichtungen / Lacke und Lasuren / Lacksysteme Metall;334, 335B, 336, 344, 345, 354, 362, 363, 364;Finish;Holz, Hybrid, MW, StB, Stahl;nur auf Trägermaterial Metall, wie (Nass-) Lackieren von Metallen 4.7.02;o
Beschichtungen / Lacke und Lasuren / Parkettlack;324, 353;Finish;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Baumwolle / Baumwolle konventionell;331B, 332, 336, 342, 345, 351, 354, 361, 364;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Baumwolle / Baumwolle ökologisch;331B, 332, 336, 342, 345, 351, 354, 361, 364;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Blähperlit / Platten;;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;"""Indoor"" -> Innendämmung; ""Outdoor"" -> Außendämmung";x
Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;
Dämmstoffe / Dämmelemente / Isokörbe;322, 331A, 331B, 351, 361;Zusatzelement;StB;;o
Dämmstoffe / Expandierter Kork / Expandierter Kork;324, 336, 345, 353, 354, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS grau;324, 335B, 336, 345, 353, 354, 363, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS weiß;324, 335B, 336, 345, 353, 354, 363, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Extrudiertes Polystyrol (XPS) / XPS weiß;324, 325, 335A, 335B, 336, 345, 353, 354, 363, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Flachsfaser / Vlies;331B, 332, 336, 342, 345, 351, 354, 361, 364;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Hanffaser / Vlies;331B, 332, 336, 342, 345, 351, 354, 361, 364;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Harnstoff-Formaldehydharz / Ortschaum;;;;wird nur sehr selten verwendet zum Ausschäumen von Hohlräumen;o
Dämmstoffe / Holzfasern / Holzfaserdämmplatte;324, 335B, 336, 345, 353, 354, 363, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Holzfasern / Holzfasern und Holzspäne, lose;331B, 332, 336, 342, 345, 351, 361;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Holzwolleplatten / Holzwolleleichtbauplatten;324, 335B, 336, 345, 353, 354, 363, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Melaminharz / Schaum;336, 345, 354, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;Schallschutz;x
Dämmstoffe / Mineralwolle / Mineralwolle;331B, 332, 336, 342, 345, 351, 361;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Mineralwolle / Steinwolle;331B, 332, 336, 342, 345, 351, 361;Dämmung weich;Holz, Hybrid, MW, StB, Stahl;;x
Dämmstoffe / Phenolharz-Hartschaum (PF) / PF-Platten;;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;nähere Eingrenzung in den Datensätzen;
Dämmstoffe / Polyethylen / Schaum;;;;KG 400 ;
Dämmstoffe / Polyurethan-Hartschaum (PU) / PIR-Hartschaum;324, 325, 335A, 335B, 336, 345, 353, 354, 363, 364;Dämmung hart;Holz, Hybrid, MW, StB, Stahl;;x
