UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Ergänzt;Quelle;Anmerkungen
7baed44c-c80b-4340-b3af-f01d71fbbb43;Kalkfarbe;Beschichtungen / Innenbeschichtungen / Innenfarben;1;kg;Kalkfarbe (Innenbereich, wasserbasiert) Dieser Datensatz bezieht sich auf die Herstellung von 1 kg Kalkfarbe (fertig gemischt). Verbrauch: 0,15 - 0,25 kg/m² (je Anstrich). Dichte zwischen 1700 und 1900 kg/m³.;;0,2;1800;;;;;;;
880e05ea-55c6-4346-a3ea-5af0e5f299e2;PU-Dämmplatten aus Blockschaumstoff;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU Blockschaum;1;qm;1 m² installierte PU-Dämmplatte aus Blockschaumstoff Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/ und /EN 14308/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf PU-Dämmplatten ohne Deckschichten aus Blockschaumstoff. Polyurethan-Hartschaum entsteht durch chemische Reaktion von Methylendiphenyl-Diisocyanat (MDI, ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6 %). Diese Produktdeklaration bezieht sich auf Dämmplatten aus Blockschaumstoff, die mit dem Kohlenwasserstoff Pentan aufgeschäumt werden. Als Hilfsstoffe werden Wasser (ca. 0,5 %), Schaumstabilisatoren und Katalysatoren (ca. 3%) sowie Flammschutzmittel (chlorhaltige bzw. nicht chlorhaltige Phosphorsäureester, ca. 5–10 %) zugesetzt. Die Ökobilanz betrachtet folgende Module des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude ( thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung in einer Müllverbrennungsanlage (MVA) - (C4), Nutzenpotenzial außerhalb der Systemgrenze aufgrund der Energiesubstitution in der MVA (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß /DIN EN 1316/, /DIN 13165/ und /DIN EN 14308/ verwendet. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte aus Blockschaumstoff und den folgenden Spezifikationen:;;;33;0,12;;;;Schichtdicke;Aus der EPD: https://www.oekobaudat.de/OEKOBAU.DAT/resource/sources/650f46b2-fd2c-43c0-a93d-e9ac37f9eb58/PU-Daemmplatten_aus_Blockschaumstoff.pdf?version=00.01.000Deklariertes Produkt/deklarierte Einheit 1 m2 installierte PU-Dämmplatte aus Blockschaumstoff mit einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,026 W/(m·K);
b29f31dc-bf1b-4214-98b4-fc2b52165a86;PU-Dämmplatten mit 50 µm Aluminium-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;1;qm;1 m² installierte PU-Dämmplatte mit 50 µm Aluminium-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten mit oder ohne Deckschichten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf mit beidseitig 50 μm alukaschierte PU-Dämmplatten. Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. 50 μm Aluminium-Deckschichten bestehen aus lackierter Aluminium-Folie. Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) bzw. Recycling (Aluminium) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß / DIN EN 13165 / verwendet. Die Rohdichte von PU-Dämmplatten mit 50 µm Aluminium-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden in der Wärmeleitfähigkeitsstufe WLS 023 hergestellt. Diese Stufe entspricht dem Bemessungswert der Wärmeleitfähigkeit von 0,023  W/(m·K). Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach / DIN 4108-10 /. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich. PU-Dämmplatten mit 50 µm Aluminium-Deckschichten sind für Wasserdampf undurchlässig und nehmen keine Feuchte auf. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit 50µm Aluminium-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;Schichtdicke;Aus der EPD: 1 m2 installierte PU-Dämmplatte mit 50μm Aluminium-Deckschicht (beidseitig) und einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,023 W/(m·K);
ee4fb7c2-6119-4f00-8cb6-fc74cb66fe9a;PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;1;qm;1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum (PU) ist ein geschlossenzelliger Schaumstoff, der als werkmäßig hergestellter Wärmedämmstoff in Form von Dämmplatten mit oder ohne Deckschichten im Hochbau und für haus- und betriebstechnische Anlagen eingesetzt wird. Die Produktfamilie der Polyurethan-Dämmstoffe (PU) umfasst die Produktvarianten Polyurethan (PUR) und Polyisocyanurat (PIR) - siehe /EN 13165/. PU-Dämmstoffe werden in Form von Blockschaum und als Dämmplatten mit flexiblen Deckschichten hergestellt. Diese Produktdeklaration bezieht sich auf beidseitig mit Aluminium-Mehrlagen-Folie kaschierten PU-Dämmplatten. Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. Aluminium-Mehrlagen-Deckschichten bestehen zu etwa gleichen Teilen aus Aluminium, Papier und LDPE. Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) bzw. Recycling (Aluminium) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß /DIN EN 13165/ verwendet. Die Rohdichte von PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden in der Wärmeleitfähigkeitsstufe WLS 023 hergestellt. Diese Stufe entspricht dem Bemessungswert der Wärmeleitfähigkeit von 0,023  W/(m·K). Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach /DIN 4108-10/. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich.  PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschichten sind für Wasserdampf undurchlässig und nehmen keine Feuchte auf. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;Schichtdicke;Aus der EPD: Deklariertes Produkt/deklarierte Einheit 1 m2 installierte PU-Dämmplatte mit Aluminium-Mehrlagen-Deckschicht (beidseitig) und einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,023 W/(m·K);
03998c02-90d1-41cd-9c68-83ffec88d125;PU-Dämmplatten mit Mineralvlies-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Mineralvlies;1;qm;1 m² installierte PU-Dämmplatte mit Mineralvlies-Deckschicht Additional Info from Xml: Polyurethan-Hartschaum entsteht durch chemische Reaktion von MDI (ca. 55-65 %) und Polyol (ca. 20-30 %) unter Zusatz von niedrig siedenden Treibmitteln (ca. 4-6%). Dämmplatten mit flexiblen Deckschichten werden ausschließlich mit dem Kohlenwasserstoff Pentan aufgeschäumt. Als Hilfsstoffe werden Wasser (ca. 0,2–0,4 %), Schaumstabilisatoren und Katalysatoren (ca. 2–3%) sowie Flammschutzmittel (ca. 3–5 %) zugesetzt. Die Mineralvliesdeckschichten bestehen hauptsächlich aus Kalziumkarbonat, Glasfaservlies und Kleber auf Basis von Urea-Formaldehyd (UF) sowie Styrol-Butadien-Kautschuk (SBR). Die Ökobilanz betrachtet folgende Punkte des Lebenszyklus: Rohstoffgewinnung und – bereitstellung (A1), Transporte der Rohstoffe (A2), Herstellung inklusive Verpackung (A3), Transport zur Baustelle (A4), Einbau ins Gebäude (Recycling bzw. thermische Verwertung der Verschnitte und Verpackungsabfälle)-(A5), Transport zum End-of-Life (C2), Abfallbehandlung: Energie für Schredder (C3), thermische Verwertung (PU Schaum) - (C4), Recycling- bzw. Nutzenpotenzial außerhalb der Systemgrenze (D). Technische Daten: Zur Bestimmung der technischen Daten werden die Prüfmethoden gemäß / DIN EN 13165 / verwendet. Die Rohdichte von PU-Dämmplatten mit Mineralvlies-Deckschichten für den Hochbau beträgt ca. 31 kg/m³. Die Platten werden abhängig von den Dicken in den Wärmeleitfähigkeitsstufen WLS 026 bis 029 hergestellt. Diese Stufen entsprechen Bemessungswerten der Wärmeleitfähigkeit von 0,026 bis 0,029 W/(m·K). Kapillaraktiv modifizierte Dämmplatten weisen Bemessungswerte von 0,031 W/(m·K) auf. Die Nenndruckspannung oder Nenndruckfestigkeit bei 10% Stauchung beträgt 100 kPa (dh) oder 150 kPa (ds) nach / DIN 4108-10 /. Höhere Druckfestigkeiten sind möglich. Die Nennzugfestigkeit beträgt 40 kPa. Höhere Zugfestigkeiten sind möglich. Die Wasserdampfdiffusionswiderstandszahl μ von Polyurethan-Hartschaum liegt gemäß DIN 4108-4 zwischen 40 und 200. Die maximale Feuchteaufnahme von Polyurethan-Hartschaum bei Diffusion und Kondensation beträgt ca. 6 Vol-%. Die im Untertauchversuch nach 28 Tagen gemessene Wasseraufnahme liegt bei einer 60 mm dicken PU-Dämmplatte mit Mineralvlies-Kaschierung bei 1,3 Vol.-%. Die Feuchteaufnahme bei Frost-Tau-Wechsel ergeben – auf den Dämmstoff ohne Deckschicht bezogen – Werte zwischen 2 und 7 Vol.-%. Polyurethan-Hartschaum besitzt ausgeprägt duroplastische Eigenschaften und ist daher nicht schmelzbar. Deklarierte Einheit: Die deklarierte Einheit ist 1 m² installierte PU-Dämmplatte mit Mineralvlies-Deckschicht (beidseitig) und den folgenden Spezifikationen:;;;31;0,12;;;;Schichtdicke;1aus der EPD: 1 m2 installierte PU-Dämmplatte mit Mineralvlies-Deckschicht (beidseitig) und einer Dicke von 12 cm und einer Wärmeleitfähigkeit (WLS) von 0,026 W/(m·K;
279613ea-381d-414d-9d35-a7622c3d4bf9;WDVS mit EPS Dämmplatte geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS, EPS geklebt, mit 160 mm Dämmstoffdicke, 13,8 kg/m²;;13,8;;0,16;;;72;Schichtdicke;Referenzfluss-Name;
8d6e3557-1c45-458e-a7cd-2964d6339c7e;WDVS mit EPS geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS EPS geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 14,1 kg/m²;;14,1;;0,16;;;71;Schichtdicke;Referenzfluss-Name;
cc522095-42b9-49ef-ae6e-2d39cd851513;WDVS mit Mineralfaser Dämmplatte geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS Mineralwolle, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 30,6 kg/m²;;30,6;;0,16;;;33;Schichtdicke;Referenzfluss-Name;
3110be3a-bfc8-4c7b-96aa-b52cfe037f6d;WDVS mit Mineralfaser Lamellen- Dämmplatten geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS Mineralwolle-Lamelle geklebt, mit 180 mm Dämmstoffdicke, 31,1 kg/m²;;31,1;;0,18;;;32;Schichtdicke;Referenzfluss-Name;
fa3a0f7d-842b-4161-a83e-04c690248185;WDVS mit Schienenbefestigung;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;1 m² WDVS EPS mit Schiene, geklebt und gedübelt, mit 160 mm Dämmstoffdicke, 10,9 kg/m²;;10,9;;0,16;;;92;Schichtdicke;Referenzfluss-Name;
