UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;EstimatedThickness (kein genauer Wert!!);Ergänzt;Quelle;Anmerkungen;
fcf6494c-aad2-4180-b1a2-392cc954ae52;Fassadenfarbe Dispersionsfarbe;Beschichtungen / Fassadenfarben / Dispersion;1;kg;Farbe (Dispersionsfarbe);;;1560;;;;;;Rohdichte;Ökobaudat Konfiguration;;
02f2750e-eec2-492a-9f05-b9600593b6c5;Fassadenfarbe Silikat-Dispersionsfarbe;Beschichtungen / Fassadenfarben / Silikat-Dispersion;1;kg;Farbe (Silikat-Dispersionsfarbe);;;1530;;;;;;Rohdichte;Ökobaudat Konfiguration;;
815fb8f6-04cc-494d-ab6b-1b6eae98bfca;Fassadenfarbe Silikonharzfarbe;Beschichtungen / Fassadenfarben / Silikonharz;1;kg;Fasadenfarbe;;;1580;;;;;;Rohdichte;Ökobaudat Konfiguration;;
35be6146-5a80-4a9e-a32d-5d05c03a8d5c;Innenfarbe Dispersionsfarbe scheuerfest;Beschichtungen / Innenbeschichtungen / Innenfarben;1;kg;Dispersionsfarbe (scheuerfest);;;1560;;;;;;Rohdichte;Ökobaudat Konfiguration;;
c1bc4706-9d3a-4468-8ecb-5a569226d75f;Lacksysteme Holzfassade deckend (Decklacksystem);Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;1;kg;Lacksysteme Holzfassade;;;1100;;;;;;Rohdichte;Ökobaudat Konfiguration;;
1a4a4522-7297-4ae5-a430-689e89ec2159;Lacksysteme Holzfassade halb-pigmentiert (Lasursystem);Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;1;kg;Lacksysteme Holzfassade;;;1040;;;;;;Rohdichte;Ökobaudat Konfiguration;;
d5fe89f0-5fd2-4981-bb87-e74bbf13ef88;Lacksysteme Holzfenster Grundierung weiß;Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;1;kg;Lacksysteme Holzfenster;;;1300;;;;;;Rohdichte;Ökobaudat Konfiguration;;
2e5ca27a-fcd0-4dc1-b0ab-4a4c7eb4e030;Lacksysteme Holzfenster Decklack weiß;Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;1;kg;Lacksysteme Holzfenster;;;1100;;;;;;Rohdichte;Ökobaudat Konfiguration;;
08138b62-1b5f-497a-bf9a-d7f857a2e575;Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß;Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;1;kg;Lacksysteme Holzfenster;;;1245;;;;;;Rohdichte;Ökobaudat Konfiguration;;
c1328d7d-8ad6-4e74-a701-ffab0c542534;Parkettlack transparent;Beschichtungen / Lacke und Lasuren / Parkettlack;1;kg;Parkettlack;;;1030;;;;;;Rohdichte;Ökobaudat Konfiguration;;
