UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing;KG_3xx;Layer;Construction type;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung;
ff62c081-7f86-4429-a1d5-f0c029d5bc7b;00.04.000;TecTem® Insulation Board Indoor Climaprotect;Dämmstoffe / Blähperlit / Platten;specific dataset;1;m3;70b42717-f7e1-e40e-b8b0-9a38dd27a874;1 m³ von TecTem® Insulation Board Indoor Climaprotect Additional Info from Xml: Mineralische Innendämmplatte aus expandiertem Perlit Deklarierte Einheit: Für die TecTem® Insulation Board Indoor Climaprotect wurden die erforderlichen Module gemäß /EN 15804/ für eine Ökobilanz „von der Wiege bis zum Werkstor“ abgedeckt. Die betrachteten Module A1 bis A3 wurden gemäß der PCR für Mineralische Dämmstoffe für 1 m³ Dämmplatte gewählt und deklariert. Bei der Festlegung der Rohdichte zur Berechnung und Deklaration wurde von der Platte mit der höheren Rohdichte ausgegangen: TecTem® Climaprotect (Typ A) mit 138,7 kg/m³.;;;138,7;;;;0,0072;true;false;false;false;336, 364;insulation hard;;;x;"Wärmeleitfähigkeit 0,055 W/(mK); Schimmelpilzsanierung und -prävention";
8fd21462-66f2-4979-8fdc-44cf78234c20;00.04.000;TecTem® Insulation Board Indoor;Dämmstoffe / Blähperlit / Platten;specific dataset;1;m3;12bb55aa-b73c-5bdb-b05a-8f9dfdf86fdc;1 m³ von TecTem® Insulation Board Indoor Additional Info from Xml: TecTem® Insulation Board Indoor ist eine innovative, in Abweichung von EN 13169 faserfreie Dämmplatte. Sie wird aus natürlichem expandiertem Perlit mit einem mineralischem Kleber und einem Verdickungsmittel aus einem nachwachsenden Rohstoff nach folgendem Verfahren hergestellt: Das zerkleinerte, abgesiebte und vorgetrocknete Rohperlit wird im Perlitofen bei einer Temperatur von ca. 1000 Grad Celsius expandiert. Es entsteht ein sehr leichtes und poröses Granulat. Das aus Kleber, Wasser und Verdickungsmittel hergestellte Bindemittelgel wird mit der Hauptkomponente Perlit vermischt. Dazu wird in einem Freifallprozess das Bindemittelgel gleichmäßig auf die Perlitkörner aufgebracht. Das so hergestellte Mischgut wird zu einer Platte, dem sogenannten Grünling, im Format 1,25 m x 1,25 m in entsprechender Dicke verpresst. Anschließend wird der Grünling getrocknet, formatiert und verpackt. Deklarierte Einheit: Für die TecTem® Insulation Board Indoor wurden die erforderlichen Module gemäß /EN 15804/ für eine Ökobilanz „von der Wiege bis zum Werkstor“ abgedeckt. Die betrachteten Module A1 bis A3 wurden gemäß der PCR für Mineralische Dämmstoffe für 1 m³ Innendämmung gewählt und deklariert. Für das Produkt TecTem® Insulation Board Indoor wurde mit der durchschnittlichen Rohdichte von 97,6 kg/m³ gerechnet.;;;97,6;;;;0,0102;true;false;false;false;336, 364;insulation hard;;;x;Wärmeleitfähigkeit 0,045 W/(mK);
5c7c71b6-662c-41d6-9d1d-040a3a5e990c;00.04.000;TecTem Insulation Board Outdoor;Dämmstoffe / Blähperlit / Platten;specific dataset;1;m3;88d83d41-3407-efd1-7d7f-4ea3ebeab6d0;1 m³ von TecTem® Insulation Board Outdoor Additional Info from Xml: TecTem® Insulation Board Outdoor ist eine innovative, in Abweichung von EN 13169 faserfreie Dämmplatte. Sie wird aus natürlichem expandiertem Perlit mit einem mineralischem Kleber und einem Verdickungsmittel aus einem nachwachsenden Rohstoff nach folgendem Verfahren hergestellt: Das zerkleinerte, abgesiebte und vorgetrocknete Rohperlit wird im Perlitofen bei einer Temperatur von ca. 1000 Grad Celsius expandiert. Es entsteht ein sehr leichtes und poröses Granulat. Das aus Kleber, Wasser und Verdickungsmittel hergestellte Bindemittelgel wird mit der Hauptkomponente Perlit vermischt. Dazu wird in einem Freifallprozess das Bindemittelgel gleichmäßig auf die Perlitkörner aufgebracht. Das so hergestellte Mischgut wird zu einer Platte, dem sogenannten Grünling, im Format 1,25 m x 1,25 m in entsprechender Dicke verpresst. Anschließend wird der Grünling getrocknet, formatiert und verpackt. Deklarierte Einheit: Für die TecTem® Insulation Board Outdoor wurden die erforderlichen Module gemäß /EN 15804/ für eine Ökobilanz „von der Wiege bis zum Werkstor“ abgedeckt. Die betrachteten Module A1 bis A3 wurden gemäß der PCR für Mineralische Dämmstoffe für 1 m³ Dämmplatte berechnet und deklariert. Für das Produtk TecTem® Insualation Board Outdoor wurde mit einer durchschnittlichen Rohdichte von 97,6 kg/m³ gerechnet.;;;97,6;;;;0,0102;true;false;false;false;335B, 363;insulation hard;;;x;Aquapanel;
d8437b43-9f40-42bf-b690-0d5009193103;00.04.000;TecTem Insulation Board Indoor Historic;Dämmstoffe / Blähperlit / Platten;specific dataset;1;m3;e12127b7-fdc1-e7cf-cc3c-c038dae7ff8a;1 m³ von TecTem® Insulation Board Indoor Historic Additional Info from Xml: TecTem® Insulation Board Indoor Historic ist eine innovative, in Abweichung von EN 13169 faserfreie Dämmplatte. Sie wird aus natürlichem expandiertem Perlit mit einem mineralischem Kleber und einem Verdickungsmittel aus einem nachwachsenden Rohstoff nach folgendem Verfahren hergestellt: Das zerkleinerte, abgesiebte und vorgetrocknete Rohperlit wird im Perlitofen bei einer Temperatur von ca. 1000 Grad Celsius expandiert. Es entsteht ein sehr leichtes und poröses Granulat. Das aus Kleber, Wasser und Verdickungsmittel hergestellte Bindemittelgel wird mit der Hauptkomponente Perlit vermischt. Dazu wird in einem Freifallprozess das Bindemittelgel gleichmäßig auf die Perlitkörner aufgebracht. Das so hergestellte Mischgut wird zu einer Platte, dem sogenannten Grünling, im Format 1,25 m x 1,25 m in entsprechender Dicke verpresst. Anschließend wird der Grünling getrocknet, formatiert und verpackt. Deklarierte Einheit: Für die TecTem® Historic wurden die erforderlichen Module gemäß /EN 15804/ für eine Ökobilanz „von der Wiege bis zum Werkstor“ abgedeckt. Die betrachteten Module A1 bis A3 wurden gemäß der PCR für Mineralische Dämmstoffe für 1 m³ Dämmplatte berechnet und deklariert. Für das Produkt TecTem® Historic wurde mit einer durchschnittlichen Rohdichte von 138,7 kg/m³ gerechnet.;;;138,7;;;;0,00721;true;false;false;false;336, 364;insulation hard;;;o;"Wärmeleitfähigkeit 0,055 W/(mK) Innendämmung von Fachwerkswänden; (nicht verwendbar für Neubau)";
beda0ad4-6258-4842-bd0a-76684e9da77c;00.04.000;TecTem Insulation Board Indoor Laibungsplatte;Dämmstoffe / Blähperlit / Platten;specific dataset;1;m3;ae0c7c2d-52e5-963c-f96c-2aef339912db;1 m³ von TecTem® Insulation Board Indoor Laibungsplatte Additional Info from Xml: TecTem® Insulation Board Indoor Laibungsplatte ist eine innovative, in Abweichung von EN 13169 faserfreie Dämmplatte. Sie wird aus natürlichem expandiertem Perlit mit einem mineralischem Kleber und einem Verdickungsmittel aus einem nachwachsenden Rohstoff nach folgendem Verfahren hergestellt: Das zerkleinerte, abgesiebte und vorgetrocknete Rohperlit wird im Perlitofen bei einer Temperatur von ca. 1000 Grad Celsius expandiert. Es entsteht ein sehr leichtes und poröses Granulat. Das aus Kleber, Wasser und Verdickungsmittel hergestellte Bindemittelgel wird mit der Hauptkomponente Perlit vermischt. Dazu wird in einem Freifallprozess das Bindemittelgel gleichmäßig auf die Perlitkörner aufgebracht. Das so hergestellte Mischgut wird zu einer Platte, dem sogenannten Grünling, im Format 1,25 m x 1,25 m in entsprechender Dicke verpresst. Anschließend wird der Grünling getrocknet, formatiert und verpackt. Deklarierte Einheit: Für die TecTem® Laibungsplatte wurden die erforderlichen Module gemäß /EN 15804/ für eine Ökobilanz „von der Wiege bis zum Werkstor“ abgedeckt. Die betrachteten Module A1 bis A3 wurden gemäß der PCR für Mineralische Dämmstoffe für 1 m³ Dämmplatte berechnet und deklariert. Für das Produkt TecTem® Insulation Board Indoor Laibungsplatte wurde mit einer durchschnittlichen Rohdichte von 138,7 kg/m³ gerechnet.;;;138,7;;;;0,00721;true;false;false;false;;insulation hard;;;o;Bilanzierung von Laibungsplatten in frühen Planungsphasen unrealistisch;
1a24710c-72fe-43f6-8df3-a1adb2637f40;00.05.000;Multipor Mineraldämmplatte;Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;average dataset;1;m3;88c0a2ff-a016-f7d3-5c0d-795f93dc4c05;1 m³ Multipor Additional Info from Xml: Sandmehl 25-40 M-% Zement 25-50 M-% Branntkalk 5-25 M-% Anhydrit/Gips 3-7 M-% Mineralischer Zuschlag 10-20 M-% Aluminium als Porenbildner 0,7-0,8 M-% //Herstellung: Der gemahlene Quarzsand wird mit den anderen Grundstoffen unter Zugabe von Wasser und Aluminiumpaste, in einem Mischer zu einer Rohmasse gemischt und in Gießformen gegossen. Das Wasser löscht unter Wärmeentwicklung den Kalk. Das Aluminium reagiert im alkalischen Milieu. Dabei bildet sich gasförmiger Wasserstoff, der die Poren in der Masse erzeugt und ohne Rückstände entweicht. Die Poren besitzen meist einen Durchmesser von 0,5 – 1,5 mm und sind ausschließlich mit Luft gefüllt. Nach dem ersten Abbinden entstehen halbfeste Rohblöcke, aus denen maschinell und mit hoher Genauigkeit die Dämmplatten geschnitten werden. Die Ausbildung der endgültigen Eigenschaften der Bauteile erfolgt während der anschließenden Dampfhärtung über 5 – 12 Stunden bei etwa 190 °C und einem Druck von ca. 12 bar in Dampfdruckkesseln, den sog. Autoklaven. Hier bilden sich aus den eingesetzten Stoffen Calcium- Silikathydrate, die dem in der Natur vorkommenden Mineral Tobermorit entsprechen. Die Reaktion des Materials ist mit der Entnahme aus dem Autoklaven abgeschlossen. Der Dampf wird nach Abschluss des Härtungsprozesses für weitere Autoklavzyklen verwandt. Das anfallende Kondensat wird als Prozesswasser genutzt. Auf diese Weise wird Energie eingespart und es fällt kein Abwasser an. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m³ Multipor Mineraldämmplatten mit einer durchschnittlichen Rohdichte von 115 kg/m³. Hierbei handelt es sich um unbewehrten Porenbeton.;;;115;;;;;true;false;false;false;324, 335B, 336, 354, 353, 364, 363;insulation hard;;;x;Innendämmung von Wänden (WI, WTR), Ober- und unterseitige Deckendämmung: Tiefgaragen, Keller (DI, DEO), Wärmedämmung für Steil- und Flachdächer (DAD, DAA dh, DAA ds), Wärmedämm-Verbundsystem (WDVS) Lambda 0,047;
6405878c-ed34-4bee-b100-5208a3212ec6;20.19.120;Calziumsilikatplatte;Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;generic dataset;1;m3;3f3cccff-6d7e-45ae-8b54-655a719eb3d5;DE: Calcium silicate board [m3];;;225;;;;;true;true;false;true;336, 364;insulation hard;;;x;Innendämmung oder Brandschutz;
7082b2c3-5203-40ba-a6f8-d16edba60f5f;20.19.120;Melaminharz-Schaum;Dämmstoffe / Melaminharz / Schaum;generic dataset;1;m3;4a7ef8e0-2d94-4d2e-bebf-1b201bd519be;Melaminharz-Schaum;;;10;;;;;true;true;false;true;336, 345, 354, 364;insulation sound;;;o;Schalldämmung an Innenoberflächen;
cf6e341b-3de7-4e24-b4d2-8ac484ee7c0e;20.19.120;Phenolharz Hartschaum;Dämmstoffe / Phenolharz-Hartschaum (PF) / PF-Platten;generic dataset;1;m3;a025ad84-a505-4de5-8648-42c82536012f;Phenolharz Hartschaum [m3];;;40;;;;;true;true;false;true;335B, 361, 363;insulation hard;;;x;Technisches Anwendungsgebiet: Phenolharz Hartschaum Platten werden als Dämmstoff, z.B. als Aufdach- oder Zwischensparrendämmung eingesetzt. Auch der Einsatz als Wärmedämmverbundsystem (WDVS) ist möglich;
65af52ac-382b-4069-aafe-b044b3960356;20.19.120;Polyethylen-Schaum;Dämmstoffe / Polyethylen / Schaum;generic dataset;1;m3;ad9ed9e4-5a27-4622-b5ea-076a89c857cc;Polyethylen-Schaum;;;30;;;;;true;true;false;true;324,353;insulation hard;;x;;;
