Kategorie;KG;LayerType;Bauweise;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung
Beschichtungen / Brandschutz / Innen- und Außenbeschichtungen;;;;x;?;neu in Oekobaudat 2021_I
Beschichtungen / Fassadenfarben / Dispersion;335B;finish;Holz, Hybrid, MW, StB, Stahl; ;x;
Beschichtungen / Fassadenfarben / Silikat-Dispersion;335B;finish;Holz, Hybrid, MW, StB, Stahl; ;x;
Beschichtungen / Fassadenfarben / Silikonharz;335B;finish;Holz, Hybrid, MW, StB, Stahl; ;x;
Beschichtungen / Grundierungen / Grundierungen Farben und Putze;;;;;o;Grundierung: nähere Eingrenzung in den Datensätzen
Beschichtungen / Innenbeschichtungen / Innenfarben;336, 345, 354, 364;finish;Holz, Hybrid, MW, StB, Stahl; ;x;
Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;336, 345, 354, 364;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;nur auf Trägermaterial Holzwerkstoff
Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfassade;335B;finish;Holz, Hybrid, MW, StB, Stahl; ;o;
Beschichtungen / Lacke und Lasuren / Lacksysteme Holzfenster;334;finish;Holz, Hybrid, MW, StB, Stahl; ;o;
Beschichtungen / Lacke und Lasuren / Lacksysteme Metall;334, 335B, 336, 344, 345, 354, 362, 363, 364;finish;Holz, Hybrid, MW, StB, Stahl;;o;nur auf Trägermaterial Metall, wie (Nass-) Lackieren von Metallen 4.7.02
Beschichtungen / Lacke und Lasuren / Parkettlack;324, 353;finish;Holz, Hybrid, MW, StB, Stahl; ;x;nur auf Parkett
Dämmstoffe / Baumwolle / Baumwolle konventionell;324, 331B, 332, 335B, 336, 342, 345, 351, 353, 354, 361, 364;insulation soft;Holz, Hybrid, MW, StB, Stahl; ;x;
Dämmstoffe / Baumwolle / Baumwolle ökologisch;324, 331B, 332, 335B, 336, 342, 345, 351, 353, 354, 361, 364;insulation soft;Holz, Hybrid, MW, StB, Stahl; ;x;
