"UUID";"Version";"Name";"Kategorie";"Typ";"Bezugsgroesse";"Bezugseinheit";"Referenzfluss-UUID";"Referenzfluss-Name";"Schuettdichte (kg/m3)";"Flaechengewicht (kg/m2)";"Rohdichte (kg/m3)";"Schichtdicke (m)";"Ergiebigkeit (m2)";"Laengengewicht (kg/m)";"Umrechungsfaktor auf 1kg";"Modul";"GWP";"ODP";"POCP";"AP";"EP";"ADPE";"ADPF";"PERE";"PERM";"PERT";"PENRE";"PENRM";"PENRT";"SM";"RSF";"NRSF";"FW";"HWD";"NHWD";"RWD";"CRU";"MFR";"MER";"EEE";"EET"
6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8;00.03.000;Innenverzinnte Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;f1d53749-4249-1f8b-0099-78c39850621e;Innenverzinnte Kupfer-Hausinstallationsrohre / 1kg Kupferrohr ;;;;;;;;A1-A3;3.5;0.0000000000867;0.000709;0.0101;0.00103;0.0000156;40.6;5.33;0;5.33;45.5;0;45.5;0;0;0;0.0161;0.00448;0.03;0.00193;0;0;0;0;0
6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8;00.03.000;Innenverzinnte Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;f1d53749-4249-1f8b-0099-78c39850621e;Innenverzinnte Kupfer-Hausinstallationsrohre / 1kg Kupferrohr ;;;;;;;;C4;0.000949;0.0000000000000119;0.000000575;0.00000603;0.000000827;0.000000000357;0.0125;0.00108;;0.00108;0.013;;0.013;0;0;0;-0.0000394;0.000000591;0.0701;0.000000227;0;0;0;0;0
6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8;00.03.000;Innenverzinnte Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;f1d53749-4249-1f8b-0099-78c39850621e;Innenverzinnte Kupfer-Hausinstallationsrohre / 1kg Kupferrohr ;;;;;;;;D;-0.729;-0.00000000000386;-0.000219;-0.0039;-0.000336;-0.00000843;-5.96;-1.14;;-1.14;-6.52;;-6.52;0;0;0;-0.00534;-0.000215;-0.00444;-0.0002;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;A1-A3;5.18;0.0000000759;0.00281;0.0167;0.0142;0.0131;118;7.75;1.46;9.22;81.3;43.2;124;0.0805;0;0;1.86;0.0000731;0.259;0.00205;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;A4;0.0632;0.000000000000288;-0.0000934;0.000273;0.0000669;0.00000000417;0.864;0.0491;0;0.0491;0.867;0;0.867;0;0;0;0.000123;0;0.0000729;0.00000124;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;A5;0.242;0.0000000000686;0.0000209;0.000345;0.0000288;0.0000000519;1.14;0.484;0;0.484;1.79;0;1.79;0;0;0;0.00108;0;0.0318;0.000257;0;0;0.0792;0.164;0.46
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;C2;0.0237;0.000000000000108;-0.0000617;0.000147;0.0000369;0.00000000157;0.324;0.0184;0;0.0184;0.325;0;0.325;0;0;0;0.0000462;0;0.0000274;0.000000465;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;C3;0.0123;0.00000000000874;0.00000236;0.0000343;0.00000307;0.00000000382;0.133;0.0601;0;0.0601;0.215;0;0.215;0;0;0;0.0000927;0;0.000129;0.0000324;0;1.67;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;D;-3.44;-0.000000000953;-0.00228;-0.00544;-0.0008;-0.0000142;-80.3;-5.94;0;-5.94;-86.7;0;-86.7;0;0;0;-0.0148;0;-0.0323;-0.00254;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2.21;;;;;;A1-A3;3.11;0.00000000596;0.000965;0.00633;0.000848;0.00000224;92.1;5.49;1.31;6.8;46.1;50.6;96.7;0.11;0;0;0.1;0;0.0952;0.00173;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2.21;;;;;;A4;0.0539;0.000000000000248;-0.0000803;0.000235;0.0000575;0.00000000359;0.743;0.0422;0;0.0422;0.745;0;0.745;0;0;0;0.000106;0;0.0000626;0.00000107;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2.21;;;;;;A5;0.15;0.0000000000333;0.00000555;0.0000753;0.00000861;0.00000000639;0.257;0.105;0;0.105;0.399;0;0.399;0;0;0;0.000491;0;0.00164;0.0000564;0;0;0.0706;0.239;0.657
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2.21;;;;;;C2;0.027;0.000000000000124;-0.0000708;0.000169;0.0000424;0.0000000018;0.372;0.0212;0;0.0212;0.374;0;0.374;0;0;0;0.000053;0;0.0000314;0.000000534;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2.21;;;;;;C3;0.0142;0.0000000000101;0.00000272;0.0000395;0.00000353;0.00000000463;0.154;0.0692;0;0.0692;0.247;0;0.247;0;0;0;0.000107;0;0.000149;0.0000373;0;1.92;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2.21;;;;;;D;-1.77;-0.0000000000224;-0.000644;-0.00282;-0.000291;-0.000000576;-67.1;-1.86;0;-1.86;-68.2;0;-68.2;0;0;0;-0.00721;0;-0.00736;-0.000451;0;0;0;0;0
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;null;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;;;;0.0044;A1-A3;25.1;0.000000000479;0.00311;0.0366;0.00496;0.0000356;115;23.4;0;23.4;131;0;131;8.48;0;0;0.0869;0.00031;6.96;0.00649;0;0;0;0;0
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;;;;0.0037;A1-A3;49.8;0.00000000121;0.00729;0.076;0.0104;0.0000745;260;40;21;61;285;11;296;6.26;0;0;0.13;0.0256;4.74;0.0142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;;;;0.0074;A1-A3;18.1;0.000000000912;0.00271;0.0295;0.00389;0.0000277;98.4;11.9;11.5;23.4;110.3;0.7;111;3.68;0;0;0.07;0.0003;2.04;0.00505;0;0;0;0;0
12b2623c-da84-4f78-9299-262486c54514;00.05.000;Blanke Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;0a3c7716-47ab-cc6a-e8c7-3e024244b0d3;Blanke Kupfer-Hausinstallationsrohre /       1kg Kupferrohr ;;;8940;;;;;A1-A3;1.97;0.0000000000426;0.000506;0.00809;0.000791;0.0000154;19.2;3.63;0;3.63;21.8;0;21.8;0;0;0;0.0122;0.00203;0.0242;0.00099;0;0;0;0;0
12b2623c-da84-4f78-9299-262486c54514;00.05.000;Blanke Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;0a3c7716-47ab-cc6a-e8c7-3e024244b0d3;Blanke Kupfer-Hausinstallationsrohre /       1kg Kupferrohr ;;;8940;;;;;C4;0.000949;0.0000000000000119;0.000000575;0.00000603;0.000000827;0.000000000357;0.0125;0.00108;;0.00108;0.013;;0.013;0;0;0;-0.0000394;0.000000591;0.0701;0.000000227;0;0;0;0;0
12b2623c-da84-4f78-9299-262486c54514;00.05.000;Blanke Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;0a3c7716-47ab-cc6a-e8c7-3e024244b0d3;Blanke Kupfer-Hausinstallationsrohre /       1kg Kupferrohr ;;;8940;;;;;D;-0.733;-0.00000000000388;-0.00022;-0.00392;-0.000337;-0.00000847;-5.99;-1.15;;-1.15;-6.55;;-6.55;0;0;0;-0.00537;-0.000216;-0.00446;-0.000201;;;;;
6943ea24-03bc-4a84-9bf9-c320b052be82;00.03.000;Blanke Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;9b15c74a-0b06-3648-02ca-9b6ace28bb75;Blanke Kupfer-Hausinstallationsrohre /       1kg Kupferrohr ;;;8940;;;;;A1-A3;1.97;0.0000000000426;0.000506;0.00809;0.000791;0.0000154;19.2;3.63;0;3.63;21.8;0;21.8;0;0;0;0.0122;0.00203;0.0242;0.00099;0;0;0;0;0
6943ea24-03bc-4a84-9bf9-c320b052be82;00.03.000;Blanke Kupfer-Hausinstallationsrohre;Metalle / Kupfer / Kupferrohre;average dataset;1;null;9b15c74a-0b06-3648-02ca-9b6ace28bb75;Blanke Kupfer-Hausinstallationsrohre /       1kg Kupferrohr ;;;8940;;;;;C4;0.000949;0.0000000000000119;0.000000575;0.00000603;0.000000827;0.000000000357;0.0125;0.00108;;0.00108;0.013;;0.013;0;0;0;-0.0000394;0.000000591;0.0701;0.000000227;0;0;0;0;0
