UUID;Version;Name;Kategorie;Konformität;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;;;;0,0037;A1-A3;49,8;1,21E-09;0,00729;0,076;0,0104;0,0000745;260;40;21;61;285;11;296;6,26;0;0;0,13;0,0256;4,74;0,0142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;;;;0,0074;A1-A3;18,1;9,12E-10;0,00271;0,0295;0,00389;0,0000277;98,4;11,9;11,5;23,4;110,3;0,7;111;3,68;0;0;0,07;0,0003;2,04;0,00505;0;0;0;0;0
d2e01b0a-bfdf-412a-996e-20d592df0d5f;00.02.000;Durchschnittlicher Zement D;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';'DIN EN 15804' / 'ISO 14025';average dataset;1000;kg;c0cf6e0d-69ee-7e28-2b64-f034ccda2b85;1 t Zement;;;;;;;0,001;A1-A3;587;0,000000203;0,12;0,75;0,187;0,00416;1830;360;0;360;2050;0;2050;16,5;669;1274;2;0,0006;2,62;0,088;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50+ BF.HI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50+ BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;2837,82;0,0000316;0,859;13,84;1,52;0,0397;38710,9;9396,63;4,53;9401,16;41945,6;961,97;42907,5;46,14;0;0;14,49;6,06;289,45;1,72;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50+ BF.HI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50+ BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;A4;0,553;2,54E-12;-0,000378;0,00135;0,000314;3,68E-08;7,61;0;0;0,433;0;0;7,64;0;0;0;0,00108;0,000000578;0,000642;0,0000109;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50+ BF.HI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50+ BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;B6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50+ BF.HI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50+ BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;C4;69,68;2,05E-10;0,00165;0,0286;0,00413;0,00000456;34,15;0;0;4,91;0;0;37,56;0;0;0;0,149;0,000000481;50,19;0,00136;0;0;0;104,94;240,74
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50+ BF.HI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50+ BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;D;-594,04;-0,0000241;-0,165;-2,74;-0,148;-0,00351;-6432,05;0;0;-2213,69;0;0;-8073,61;0;0;0;-4,69;-0,00000349;-170,61;-0,675;0;669,54;0;0;0
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;1066,65;0,0000216;0,444;3,68;0,548;0,00591;12848,3;2291,67;0;2291,67;14106,6;507,45;14614;27,25;0;0;5,13;0,000081;135,08;0,722;0;0;0;0;0
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;A4;0,293;1,34E-12;-0,0002;0,000717;0,000166;1,95E-08;4,03;0;0;0,229;0;0;4,04;0;0;0;0,000573;0,000000306;0,00034;0,00000578;0;0;0;0;0
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;B6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;C4;36,83;1,26E-10;0,00053;0,015;0,000875;0,00000452;21,17;0;0;3,52;0;0;23,65;0;0;0;0,075;0,000000262;10,76;0,000983;0;0;0;46,07;106,53
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;D;-321,89;-0,0000165;-0,0794;-1,28;-0,074;-0,000976;-3419,68;0;0;-1416,49;0;0;-4515,93;0;0;0;-2,86;-0,00000538;-75,75;-0,451;0;367,58;0;0;0
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;A1-A3;4,62;1,0307E-10;0,00152;0,03044;0,00362;0,000403468;63,6;6,71646;3,05454;9,771;66,4827;0,41729;66,9;5,66146;;;0,020412;1,10426E-06;11,1431;0,00132236;;;;;
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;A4;0,121;2,46E-13;-0,000108;0,000317;0,0000797;0,000000009;1,62;0,11;0;0,11;1,62;0;1,62;;;;0,000166;2,08823E-07;0,0108015;2,19716E-06;;;;;
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;C2;0,12;2,44E-13;-0,000107;0,000315;0,0000791;8,93E-09;1,61;0,109;;0,109;1,61;;1,61;;;;0,000165;2,07336E-07;0,0107246;2,1815E-06;;;;;
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;C3;0,109;6,53E-12;0,0000116;0,000157;0,0000249;4,86E-08;1,07;0,55;;0,55;1,41;;1,41;;;;0,000413;1,65527E-09;1,54608;0,000132237;;16,9;;;
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;C4;0,289;2,84E-12;0,000166;0,00173;0,000236;9,96E-08;3,76;0,443;;0,443;3,89;;3,89;;;;0,000793;8,90533E-08;18,6896;5,37853E-05;;;;;
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;D;-0,0679;-6,76E-13;-0,0000177;-0,000159;-0,0000342;-0,000307;-0,711;-0,0527;;-0,0527;-0,739;;-0,739;16,5295;;;-0,000134;-1,65092E-08;-0,13684;-1,11503E-05;;;;;
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;A1-A3;4,19953;7,62611E-11;0,00141319;0,0282133;0,00351665;0,000402607;57,3982;8,34186;3,174;11,5159;60,5117;0,0291917;60,5409;5,66145;;;0,0201489;8,78384E-07;9,4951;0,00124731;;;;;
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;A4;0,120336;2,44854E-13;-0,00010745;0,000315415;7,92584E-05;8,94874E-09;1,60875;0,109636;;0,109636;1,61442;;1,61442;;;;0,00016558;2,07744E-07;0,0107457;2,1858E-06;;;;;
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;C2;0,119;2,43E-13;-0,000107;0,000313;0,0000787;8,88E-09;1,6;0,109;;0,109;1,6;;1,6;;;;0,000164;2,06184E-07;0,010665;2,16938E-06;;;;;
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;C3;0,108;6,49E-12;0,0000116;0,000156;0,0000248;4,83E-08;1,07;0,547;;0,547;1,4;;1,4;;;;0,00041;1,64607E-09;1,51749;0,000131502;;16,6;;;
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;C4;0,287;2,83E-12;0,000166;0,00172;0,000234;0,000000099;3,74;0,0215;;0,44;3,87;;3,87;;;;0,000788;8,85586E-08;18,5857;5,34864E-05;;;;;
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';'DIN EN 15804' / 'ISO 14025';specific dataset;1;qm;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;D;-0,0675;-6,73E-13;-0,0000176;-0,000158;-0,000034;-0,000305;-0,707;-0,0524;;-0,0524;-0,735;;-0,735;16,2295;;;-0,000133;-1,64174E-08;-0,13608;-1,10883E-05;;;;;
00b700ef-2d55-4434-b91d-c97cc1f85d40;00.02.000;SCHÜCO ADS 75.SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;pcs.;79536b45-e47b-efed-8221-926f42a4d561;Schüco ADS 75.SI B x H: 1100 mm x 2200 mm;;;;;;;;A1-A3;369,6;0,00000879;0,132;1,26;0,154;0,00232;4489,63;869,26;0;869,26;4996,8;194,29;5191,09;12;0;0;2,51;0,0188;50,97;0,287;0;0;0;0;0
00b700ef-2d55-4434-b91d-c97cc1f85d40;00.02.000;SCHÜCO ADS 75.SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;pcs.;79536b45-e47b-efed-8221-926f42a4d561;Schüco ADS 75.SI B x H: 1100 mm x 2200 mm;;;;;;;;A4;0,0754;3,46E-13;-0,0000515;0,000185;0,0000428;5,02E-09;1,04;0;0;0,059;0;0;1,04;0;0;0;0,000148;7,87E-08;0,0000875;0,00000149;0;0;0;0;0
00b700ef-2d55-4434-b91d-c97cc1f85d40;00.02.000;SCHÜCO ADS 75.SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;pcs.;79536b45-e47b-efed-8221-926f42a4d561;Schüco ADS 75.SI B x H: 1100 mm x 2200 mm;;;;;;;;B6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00b700ef-2d55-4434-b91d-c97cc1f85d40;00.02.000;SCHÜCO ADS 75.SI;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';'DIN EN 15804' / 'ISO 14025';average dataset;1;pcs.;79536b45-e47b-efed-8221-926f42a4d561;Schüco ADS 75.SI B x H: 1100 mm x 2200 mm;;;;;;;;C4;13,81;5,09E-11;0,000732;0,0121;0,00289;0,000000586;6,97;0;0;0,779;0;0;7,65;0;0;0;0,0354;4,95E-08;3,1;0,000269;0;0;0;21,21;49,26
