LayerType;Corresponding KG3xxs
boards;331B, 332, 341, 342, 345, 354, 364, 336, 351, 361, 335B, 
block;341, 
wall cladding;335B, 363, 336, 342, 345, 353, 354, 364, 324, 331B, 332, 341, 351, 361, 337, 344, 
complete curtain wall;331B, 335B, 
complete interior wall;
complete raised floor;
complete slab;331B, 332, 341, 342, 346, 351, 361, 
complete suspended ceiling;
complete wall;331B, 332, 341, 342, 346, 351, 361, 
complete wall core;331B, 332, 341, 342, 346, 351, 361, 331A, 
complete window-double;362, 334, 344, 
complete window-single;334, 344, 362, 
complete window-triple;362, 334, 344, 
concrete;322, 331A, 331B, 341, 351, 361, 
door;334, 344, 
EIFS;335B, 
finish;336, 345, 354, 364, 335B, 324, 353, 
flooring;363, 324, 353, 336, 345, 354, 364, 331B, 332, 335B, 341, 342, 351, 361, 
frame;334, 335B, 336, 344, 362, 
glass unit;334, 344, 
growing medium;363, 
house wrap;363, 335B, 
insulation hard;324, 335B, 336, 345, 353, 354, 363, 364, 325, 335A, 361, 
insulation soft;331B, 332, 342, 351, 361, 324, 335B, 336, 345, 353, 354, 364, 341, 363, 
light strip;334, 
loose fill;324, 353, 363, 325, 
masonry unit;331B, 332, 341, 342, 
mortar;331B, 341, 342, 332, 
moving air;324, 322, 325, 331A, 331B, 332, 335A, 335B, 336, 341, 342, 345, 351, 353, 354, 361, 363, 364, 334, 346, 333, 343, 344, 362, 338, 337, 
plaster;336, 345, 354, 364, 335B, 
raised floor;324, 353, 
rebar;322, 331A, 331B, 341, 351, 361, 
screed;324, 353, 
separating layer;324, 325, 336, 353, 354, 363, 364, 
shutter;338, 
skylight;362, 
static air;324, 322, 325, 331A, 331B, 332, 335A, 335B, 336, 341, 342, 345, 351, 353, 354, 361, 363, 364, 334, 346, 333, 343, 344, 362, 338, 337, 
structure-steel;331B, 341, 351, 361, 
structure-wood;324, 331B, 332, 335B, 336, 341, 342, 351, 353, 354, 361, 363, 364, 
substructure-metal;335B, 336, 342, 345, 353, 354, 363, 364, 334, 
substructure-wood;324, 331B, 332, 335B, 336, 341, 342, 351, 353, 354, 361, 363, 364, 
transparent-double;334, 362, 
transparent-single;344, 362, 335B, 
transparent-triple;334, 362, 
vapour barrier;324, 325, 336, 353, 354, 363, 364, 
waterproofing;363, 335A, 324, 
ceiling cladding;335B, 336, 342, 345, 353, 354, 363, 364, 324, 
roof cladding;363, 335B, 336, 342, 345, 353, 354, 364, 324, 
