UUID;Name;Kategorie;Technological Applicability ;Applications
8d06b1df-e898-4009-adee-57ca44aaafcc;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;;
9179f12a-8fef-4319-a150-a6bb1286c37c;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;;
d4680073-0c9c-40f4-842f-c6830856812c;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
284efda1-bb16-453a-bc32-070f3bab4cb3;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
daa6924a-a78e-4457-864a-8613ad441f17;Brillux Dolomit ELF 900;Beschichtungen / Innenbeschichtungen / Innenfarben;;
fab730b2-0b23-4cc8-9543-39caed1db530;Brillux Evocryl 200;Beschichtungen / Fassadenfarben / Dispersion;;
ebb1b66d-c4b3-4fc8-bdab-2037ec1226b2;Brillux Glemalux ELF 1000;Beschichtungen / Innenbeschichtungen / Innenfarben;;
346f481f-c669-41fa-b69c-d16c7b21bd30;Brillux Latexfarbe ELF 992;Beschichtungen / Innenbeschichtungen / Innenfarben;;
a95d0d3b-06e9-436d-a255-1f4d2dfd2077;Brillux Sensocryl ELF 266;Beschichtungen / Innenbeschichtungen / Innenfarben;;
ea6b23bb-6df2-4692-8999-4b81d0a1990c;Brillux Sensocryl ELF 267;Beschichtungen / Innenbeschichtungen / Innenfarben;;
66dd0bed-23da-474c-abc0-96fa3c36004a;Brillux Sensocryl ELF 268;Beschichtungen / Innenbeschichtungen / Innenfarben;;
fecc54a7-c307-47a4-9821-6d12b69ebcd7;Brillux Sensocryl ELF 269;Beschichtungen / Innenbeschichtungen / Innenfarben;;
