UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;A1-A3;5,18;7,59E-08;0,00281;0,0167;0,0142;0,0131;118;7,75;1,46;9,22;81,3;43,2;124;0,0805;0;0;1,86;7,31E-05;0,259;0,00205;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;A4;0,0632;2,88E-13;-9,34E-05;0,000273;6,69E-05;4,17E-09;0,864;0,0491;0;0,0491;0,867;0;0,867;0;0;0;0,000123;0;7,29E-05;1,24E-06;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;A5;0,242;6,86E-11;2,09E-05;0,000345;2,88E-05;5,19E-08;1,14;0,484;0;0,484;1,79;0;1,79;0;0;0;0,00108;0;0,0318;0,000257;0;0;0,0792;0,164;0,46
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;C2;0,0237;1,08E-13;-6,17E-05;0,000147;3,69E-05;1,57E-09;0,324;0,0184;0;0,0184;0,325;0;0,325;0;0;0;4,62E-05;0;2,74E-05;4,65E-07;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;C3;0,0123;8,74E-12;2,36E-06;3,43E-05;3,07E-06;3,82E-09;0,133;0,0601;0;0,0601;0,215;0;0,215;0;0;0;9,27E-05;0;0,000129;3,24E-05;0;1,67;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;D;-3,44;-9,53E-10;-0,00228;-0,00544;-0,0008;-1,42E-05;-80,3;-5,94;0;-5,94;-86,7;0;-86,7;0;0;0;-0,0148;0;-0,0323;-0,00254;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;A1-A3;3,11;5,96E-09;0,000965;0,00633;0,000848;2,24E-06;92,1;5,49;1,31;6,8;46,1;50,6;96,7;0,11;0;0;0,1;0;0,0952;0,00173;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;A4;0,0539;2,48E-13;-8,03E-05;0,000235;5,75E-05;3,59E-09;0,743;0,0422;0;0,0422;0,745;0;0,745;0;0;0;0,000106;0;6,26E-05;1,07E-06;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;A5;0,15;3,33E-11;5,55E-06;7,53E-05;8,61E-06;6,39E-09;0,257;0,105;0;0,105;0,399;0;0,399;0;0;0;0,000491;0;0,00164;5,64E-05;0;0;0,0706;0,239;0,657
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;C2;0,027;1,24E-13;-7,08E-05;0,000169;4,24E-05;1,8E-09;0,372;0,0212;0;0,0212;0,374;0;0,374;0;0;0;5,3E-05;0;3,14E-05;5,34E-07;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;C3;0,0142;1,01E-11;2,72E-06;3,95E-05;3,53E-06;4,63E-09;0,154;0,0692;0;0,0692;0,247;0;0,247;0;0;0;0,000107;0;0,000149;3,73E-05;0;1,92;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;D;-1,77;-2,24E-11;-0,000644;-0,00282;-0,000291;-5,76E-07;-67,1;-1,86;0;-1,86;-68,2;0;-68,2;0;0;0;-0,00721;0;-0,00736;-0,000451;0;0;0;0;0
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;qm;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;;;;0,0044;A1-A3;25,1;4,79E-10;0,00311;0,0366;0,00496;3,56E-05;115;23,4;0;23,4;131;0;131;8,48;0;0;0,0869;0,00031;6,96;0,00649;0;0;0;0;0
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;qm;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;;;;0,0037;A1-A3;49,8;1,21E-09;0,00729;0,076;0,0104;7,45E-05;260;40;21;61;285;11;296;6,26;0;0;0,13;0,0256;4,74;0,0142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;;;;0,0074;A1-A3;18,1;9,12E-10;0,00271;0,0295;0,00389;2,77E-05;98,4;11,9;11,5;23,4;110,3;0,7;111;3,68;0;0;0,07;0,0003;2,04;0,00505;0;0;0;0;0
daa6924a-a78e-4457-864a-8613ad441f17;00.03.000;Brillux Dolomit ELF 900;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;kg;b51ee2bc-fd63-d2e9-88e9-89e604984e19;1 kg Brillux Dolomit ELF 900;;;1500;;;;1;A1-A3;0,797;2,21E-10;0,000735;0,0175;0,000264;1,5E-06;13,9;1,16;0;1,16;13,16;2,04;15,2;0;0;0;0,0054;0,00252;0,0256;0,000534;0;0;0;0;0
fab730b2-0b23-4cc8-9543-39caed1db530;00.04.000;Brillux Evocryl 200;Beschichtungen / Fassadenfarben / Dispersion;specific dataset;1;kg;7a6913a6-dda6-62a4-5335-fa10ad49f399;1 kg Brillux Evocryl 200;;;1300;;;;1;A1-A3;1,61;4,44E-10;0,0011;0,0259;0,000517;2,5E-06;29,3;1,62;0;1,62;20,57;10,63;31,2;0;0;0;0,0066;0,00237;0,0358;0,000763;0;0;0;0;0
ebb1b66d-c4b3-4fc8-bdab-2037ec1226b2;00.03.000;Brillux Glemalux ELF 1000;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;kg;bce9968d-de8b-c53c-13bf-e85ae93a8fd0;1 kg Brillux Glemalux ELF 1000;;;1500;;;;1;A1-A3;1,27;4,93E-10;0,00122;0,0299;0,000417;3,32E-06;20,9;1,59;0;1,59;20,01;2,79;22,8;0;0;0;0,00731;0,00323;0,0372;0,0008;0;0;0;0;0
346f481f-c669-41fa-b69c-d16c7b21bd30;00.03.000;Brillux Latexfarbe ELF 992;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;kg;2dde145e-a37d-19df-f367-9632e33b5208;1 kg Brillux Latexfarbe ELF 992;;;1300;;;;1;A1-A3;1,42;3,72E-10;0,00137;0,0301;0,000447;2,65E-06;26,3;1,56;0;1,56;22,12;6,28;28,4;0;0;0;0,0129;0,00488;0,0201;0,000879;0;0;0;0;0
a95d0d3b-06e9-436d-a255-1f4d2dfd2077;00.03.000;Brillux Sensocryl ELF 266;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;kg;ca7fe179-360b-1c28-8e77-625b4717c2ed;1 kg Brillux Sensocryl ELF 266;;;1400;;;;1;A1-A3;1,88;4,29E-10;0,00169;0,0426;0,000606;3,46E-06;30,6;2,03;0;2,03;29,79;3,61;33,4;0;0;0;0,0103;0,00541;0,049;0,00115;0;0;0;0;0
ea6b23bb-6df2-4692-8999-4b81d0a1990c;00.03.000;Brillux Sensocryl ELF 267;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;kg;33fbf59a-2726-b8b2-0d9c-91a83d60b34e;1 kg Brillux Sensocryl ELF 267;;;1350;;;;1;A1-A3;2,2;5,25E-10;0,00211;0,0509;0,000691;4,08E-06;37,2;2,27;0;2,27;34,27;5,63;40,6;0;0;0;0,0132;0,00659;0,0611;0,00137;0;0;0;0;0
66dd0bed-23da-474c-abc0-96fa3c36004a;00.03.000;Brillux Sensocryl ELF 268;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;kg;1acc30f4-8f97-003d-d3ea-9cc4024f500c;1 kg Brillux Sensocryl ELF 268;;;1300;;;;1;A1-A3;2,19;4,85E-10;0,00191;0,0447;0,000669;3,79E-06;38,7;2,18;0;2,18;35,56;6,24;41,8;0;0;0;0,0129;0,00637;0,0536;0,00128;0;0;0;0;0
fecc54a7-c307-47a4-9821-6d12b69ebcd7;00.03.000;Brillux Sensocryl ELF 269;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;kg;44112a9e-e2ac-3d33-c01f-fc2e8f5bba98;1 kg Brillux Sensocryl ELF 269;;;1300;;;;1;A1-A3;2,07;4,53E-10;0,00193;0,0433;0,000613;3,22E-06;39,1;2,04;0;2,04;32,33;9,67;42;0;0;0;0,012;0,0049;0,0197;0,00117;0;0;0;0;0
127e1dd6-110d-4356-83bf-e39c4b27ff2b;00.03.000;Brillux Silikat-Innenfarbe ELF 1806;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;kg;e0615330-5d15-d5e3-cf3c-cf11ddf6e983;1 kg Brillux Silikat-Innenfarbe ELF 1806;;;1550;;;;1;A1-A3;1,61;4,44E-10;0,0011;0,0259;0,000517;2,5E-06;29,3;1,62;0;1,62;20,57;10,63;31,2;0;0;0;0,0066;0,00237;0,0358;0,000763;0;0;0;0;0
ba66960b-8890-4204-9df3-4ddb48416316;00.03.000;Brillux Super Latex ELF 3000;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;kg;e80923dd-9241-79a9-bce8-97dc054aec59;1 kg Brillux Super Latex ELF 3000;;;1400;;;;1;A1-A3;1,18;2,99E-10;0,00113;0,0268;0,000382;2,11E-06;20,4;1,46;0;1,46;18,4358;3,76;22,2;0;0;0;0,0084;0,00325;0,021;0,000747;0;0;0;0;0
46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;00.05.000;CapaSilan;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;60269f59-b7cc-6032-8fe5-2a87f6694d48;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaSilan;;;1450;;;;;A1-A3;1,72;1,56E-09;0,00107;0,0218;0,000588;3,35E-06;27,8;2,15;0;2,15;27,8;2,59;30,4;0;0,00232;0,0234;0;0;0;0;0;0;0;0;0
46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;00.05.000;CapaSilan;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;60269f59-b7cc-6032-8fe5-2a87f6694d48;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaSilan;;;1450;;;;;A4;0,0246;5,14E-13;-6,81E-05;0,000162;4,03E-05;1,14E-09;0,337;0;0;0,02;0;0;0,338;0;2,51E-06;2,63E-05;0;0;0;0;0;0;0;0;0
46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;00.05.000;CapaSilan;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;60269f59-b7cc-6032-8fe5-2a87f6694d48;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaSilan;;;1450;;;;;A5;0,159;1E-12;0,000256;1,68E-05;3,44E-06;2,09E-09;0,0287;0;0;0,00291;0;0;0,033;0;5,11E-07;5,34E-06;0;0;0;0;0;0;0;0,24;0,577
46f9017f-0c05-4c2c-90de-d23bbc3d3e5a;00.05.000;CapaSilan;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;60269f59-b7cc-6032-8fe5-2a87f6694d48;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaSilan;;;1450;;;;;D;-0,0786;-2,38E-11;-9,99E-06;-0,000109;-1,22E-05;-8,14E-09;-1,04;0;0;-0,114;0;0;-1,2;0;-1,73E-05;-0,000182;0;0;0;0;0;0;0;0;0
13a77bf0-9a05-47fe-8531-ca91d3764ec5;00.05.000;CapaTrend;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;c98e43f4-8ece-1cb3-ae15-6cb5b195fecc;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaTrend;;;1400;;;;;A1-A3;1,6;6,28E-10;0,000986;0,0198;0,000539;2,84E-06;26,4;2,32;0;2,32;27,5;1,87;29,4;0;0,00218;0,022;0,00789;0,00691;0,337;0,00123;0;0;0;0;0
13a77bf0-9a05-47fe-8531-ca91d3764ec5;00.05.000;CapaTrend;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;c98e43f4-8ece-1cb3-ae15-6cb5b195fecc;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaTrend;;;1400;;;;;A4;0,0246;5,14E-13;-6,81E-05;0,000162;4,03E-05;1,14E-09;0,337;0;0;0,02;0;0;0,338;0;2,51E-06;2,63E-05;1,93E-05;0;6,68E-05;4,85E-07;0;0;0;0;0
13a77bf0-9a05-47fe-8531-ca91d3764ec5;00.05.000;CapaTrend;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;c98e43f4-8ece-1cb3-ae15-6cb5b195fecc;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaTrend;;;1400;;;;;A5;0,159;1E-12;0,000256;1,68E-05;3,44E-06;2,09E-09;0,0287;0;0;0,00291;0;0;0,033;0;5,11E-07;5,34E-06;0,000381;0,000777;1,53E-05;1,76E-06;0;0;0;0,24;0,577
13a77bf0-9a05-47fe-8531-ca91d3764ec5;00.05.000;CapaTrend;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;kg;c98e43f4-8ece-1cb3-ae15-6cb5b195fecc;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: CapaTrend;;;1400;;;;;D;-0,0786;-2,38E-11;-9,99E-06;-0,000109;-1,22E-05;-8,14E-09;-1,04;0;0;-0,114;0;0;-1,2;0;-1,73E-05;-0,000182;-0,000178;0;-0,00045;-6,82E-05;0;0;0;0;0
1b842259-9cfe-4e41-80b3-df0a11382984;00.03.000;Dachsteine;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;kg;ff8ac4ed-d498-b4ff-3e55-ea89a8ae4b72;1t Betondachsteine;;;2150;;;;0,001;A1-A3;209;6,06E-09;0,0395;0,309;0,0364;0,000459;1210;158;0;158;1220;133;1350;0;0;0;0,288;0,0219;517;0,0525;0;67,6;0;0;0
1b842259-9cfe-4e41-80b3-df0a11382984;00.03.000;Dachsteine;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;kg;ff8ac4ed-d498-b4ff-3e55-ea89a8ae4b72;1t Betondachsteine;;;2150;;;;0,001;A4;13,1;1,61E-11;-0,01;0,0341;0,00958;6,76E-07;178;13,7;0;13,7;179;0;179;0;0;0;0,00992;0,000144;1,2;0,000238;0;0;0;0;0
ba0e47ef-b04a-4bbb-bc9d-dafc7b72edc2;00.04.000;Dachziegel Neufahrn;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;null;c0b0efd4-5da0-5228-5d9a-4d9c594a0dfb;Tondachziegel;;46;2020;;;;0,001;A1-A3;297,3;5,21E-09;0,0399;0,467;0,047;5,21E-05;4699;436,2;0;436,2;4973;0;4973;0,3678;0;0;0,461;0,283;21,9;0,1093;0;0;0;0;0
573cebb5-2963-460f-8d61-0e3eecc1176e;00.05.000;Estrichelemente;Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;average dataset;1;qm;405a6704-5bd0-9454-be69-816e8095a070;1 m2 fermacell Estrichelement;;;1180;;;;0,034;A1-A3;2,5;4,8E-11;0,000138;0,00396;0,000695;0,000169;36,4;7,82;0,0372;7,85;38,7;0,00549;38,7;7,03;0;0;0,0132;3,47E-07;0,0534;0,000897;0;0;0;0;0
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte;;;254;;;;0,081;A1-A3;-7,85918;2,74331E-10;0,00660221;0,0276847;0,00733512;7,26507E-06;172,421;49,0862;187,623;236,709;148,811;30,7499;179,561;0,383;0;0;0,039696;0,00017976;0,0627962;0,00282977;0;0;0;0;0
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte;;;254;;;;0,081;C3;20,4395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,7;0;0
