UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing
d601d54e-a2eb-42bb-b32b-c59d1b2332a9;00.04.000;Holzfaserdämmstoff;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;average dataset;1;m3;c452761e-9dfe-257a-9b97-1d707e76c11f;1 m³ Holzfaserdämmstoff Additional Info from Xml: Grundstoffe / Hilfsstoffe: Nadelholz 82,8%, Wasser, 6,0%, Klebstoffe 1,2%, Bindefaser 1,3%, Recyclingpapier 6,3%, Brandhemmer 2,4%, sonstige Hilfsstoffe 0,1%, Erläuterung des Produktionsablaufes Nassverfahren: Verarbeitung des Rohholzes zu Hackschnitzeln, Erhitzen der Hackschnitzel unter Dampfdruck, Zerfaserung der Hackschnitzel durch Defibrationsverfahren, Vermischung der Fasern mit Wasser zu einem Faserbrei (ggf. Zugabe der notwendigen Zusatzstoffe), Formung des Platte durch Pressen, Trocknen der Platten (ca. 160°C – 200°C), Verleimung, Zuschnitt und Profilierung, Abstapelung, Verpackung, Erläuterung des Produktionsablaufes Trockenverfahren: analogNassverfahren bis Zerfaserung im Defibrationsverfahren, Trocknung der Fasern im Stromrohrtrockner, Zumischung der Bindefaser, Aufgabe des Gemenges auf die Produktionslinie, Erwärmen und Pressen des Gemenges zur Dämmmatte, Zuschnitt, Abstapelung, Verpackung, Alle während der Produktion anfallenden Reststoffe werden entweder erneut der Produktion zugeführt oder intern einer energetischen Verwertung zugeführt, Deklarierte Einheit: die deklarierte Einheit ist 1 m³ Holzfaserdämmstoff mit einer mittleren Rohdichte von 157,5 kg/m³ Technische Daten: Die folgenden Angaben beziehen sich auf die Produktlinie STEICOtherm. Angaben zu weiteren im Gültigkeitsbereich dieser EPD genannten Produkte sind unter www.steico.net einsehbar. Deklarierte Einheit: Die deklarierte Einheit ist 1m³ Holzfaserdämmstoff mit einer mittleren Rohdichte von 157,49 kg.Die Berechnung der Rohdichte und der Inhaltsstoffanteile der deklarierten Einheit erfolgte über die produktionsvolumengewichtete Durchschnittsbildung der im Werk hergestellten Produkte.;;;157,49;;;;0,00635;true;true;false;true
6bb3b483-7640-42f0-ba34-f9b7efbf0dba;00.04.000;Mehrschichtparkett;Holz / Holzböden / Parkett;average dataset;1;qm;8ee494a5-3551-3e4d-60b2-37a626235d65;1 m² Schichtparkett Additional Info from Xml: Zwei- und mehrschichtigen Parkettböden, Mehrschichtparkett. Mehrschichtige Parkettböden sind in Lagen aufgebaute Holzböden, die eine Deckschicht von mindestens 2,5 mm Dicke haben. Sie können 2-lagig mit Trägerplatte aus Vollholz oder Holzwerkstoffen und einer dekorativen Deckschicht, oder 3-lagig mit einer zusätzlichen Gegenzuglage ausgestattet sein. Mehrschichtparkette sind Holzbodenbeläge für die private und gewerbliche Nutzung im Innenbereich, die entweder auf Estrich, oder auf bestehenden anderen Unterböden wie Holz, Fliesen, PVC schwimmend verlegt oder verklebt oder mit sonstigen Befestigungsmitteln fixiert sind. Zur Herstellung von Mehrschichtparkett werden Rundhölzer, frische Schnitthölzer, kammergetrocknete Schnitthölzer oder Hobelware eingesetzt. Daneben kommen teilweise Sperrhölzer und HDF Platten zum Einsatz. Die Schichten werden zunächst getrennt hergestellt. Die Deckschicht wird aus Vollholzelementen zusammengesetzt. Die Mittellage kann aus Holzwerkstoffen oder massiven Einzelteilen bestehen. Im Falle des 3-lagigen Aufbaus wird ein Gegenzug genutzt. Die einzelnen Lagen werden nach Aufbringung von Klebstoffen zusammengepresst und aufgetrennt. Technische Daten: Folgende technische Daten für Mehrschichtparkette sind zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist 1m² Schichtparkett bis zum Werkstor der Herstellung. Es wird ein durchschnittliches Produkt gemittelt aus mehreren Werken der Unternehmen des Verbandes deklariert.;;;;;;;0,113;true;true;false;true
2c5406bc-f977-4ece-af99-7db29f20ff61;00.03.000;Massivholzböden und Massivholzparkett;Holz / Holzböden / Parkett;average dataset;1;qm;509c09bd-d363-e8ae-4a27-b138a00127c6;1m² Massivholzboden Additional Info from Xml: Einschichtige Massivholzböden und Massivparkett. Massivholzböden sind einschichtige Bodenbeläge aus massivem Holz in Form von Massivholzparkett (Stab-, Riemen, Lam-, Tafel-, Mosaikparkett, Parkettblock, Hochkantlamelle, Breitlammelle, Modulklotz) oder Massivholzdielen. Die Böden haben Dicken zwischen 8 und 40 mm zur Verwendung im Innenbereich. Zur Herstellung von einschichtigen Massivholzböden wird getrocknetes Schnittholz oder Hobelware in mehreren Schritten zu verlegbaren, massiven Einzelelementen verarbeitet. Beginnend mit dem Einschnitt des Rundholzes zu Bohlen und Brettern werden diese in mehreren Arbeitsgängen zu trocknen Rohlingen für die Endproduktion vorbereitet. Je nach Produkt werden daraus in unterschiedlichen zerspanenden Prozessen verlegbare, massive Elemente in den erwünschten Dimensionen der Einzelelemente je m² Bodenfläche hergestellt. Technische Daten: Folgende technische Daten für Massivholzböden sind zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist 1m² Massivholzparkett bis zum Werkstor der Herstellung. Die Zusammensetzung entspricht dem nach Produktionsvolumen gewichteten Durchschnitt.;;11,71;;;;;0,085;true;true;false;true
36375bd3-f8d5-4291-9335-93d4f429ce70;00.04.000;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1;m3;0f42ea0d-3a1c-1a2f-e44a-5916fe05996f;1 lfm Stahlschutzplanke Additional Info from Xml: siehe EPD Technische Daten: Die mechanisch-technologischen Eigenschaften von warmgefertigten Hohlprofilen können der Liefernorm /DIN EN 10210/ Teil 1, Tabelle A.3 (unlegierte Baustähle) bzw. Tabelle B.3 (Feinkornbaustähle), entnommen werden Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 t Stahlbau-Hohlprofil.;;;7850;;;;;true;true;false;true
2c127685-17be-41df-8cc4-1f3720813a7e;00.04.000;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;m3;cd52d5c7-caef-9a92-ae10-bd8650fa9eac;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2 / 1kg Additional Info from Xml: flexibilisierter Fliesenkleber zusammengesetzt aus verschiedenen Zementen, Füllstoffen wie Quarzsand und Kalksteinmehl, Dispersionspulver zur Flexibilisierung sowie Additiven wie Stabilisierungsmittel und Abbinderegler, hergestellt im diskontinuierlichen Chargenbetrieb Technische Daten: Die Fliesenkleber PCI Flexmörtel, PCI Flexmörtel  S1 und PCI Flexmörtel  S2 entsprechen den Anforderungen der /DIN EN 12004/. Deklarierte Einheit: Die Verbands-EPD bezieht sich auf die deklarierte Einheit von 1 kg modifizierten, mineralischen Mörteln. Die Auswertungen beziehen sich auf das repräsentative (worst-case) Produkt je Gruppe, wobei die Daten für den Herstellungsprozess Durchschnittswerte verschiedener Hersteller und Werke sind. Auf die Angabe eines Verbrauchs pro Flächeneinheit wurde auf Grund der extrem unterschiedlichen Anwendungsbereiche und Rezepturen in dieser EPD verzichtet. Genaue Angaben dazu können in produktspezifischen Datenblättern der Hersteller entnommen werden.;;;1200;;;;;true;false;false;true
c820c4a1-b7f6-4024-98d3-b737558988b8;00.03.000;PCI FT® Extra, PCI FT® Flex, PCI FT® Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;m3;3805cb73-3ef7-9d5a-5107-e3c524fabce0;1 kg PCI FT® Extra, PCI FT® Flex oder PCI FT® Rapid Additional Info from Xml: Flexibilisierter Fliesenkleber zusammengesetzt aus verschiedenen Zementen, Füllstoffen wie Quarzsand und Kalksteinmehl, Dispersionspulver zur Flexibilisierung sowie Additiven wie Stabilisierungsmittel und Abbinderegler, hergestellt im diskontinuierlichen Chargenbetrieb Technische Daten: Die Fliesenkleber PCI FT® Extra, PCI FT® Flex und PCI FT® Rapid entsprechen den Anforderungen der /DIN EN 12004/. Deklarierte Einheit: Die Verbands-EPD bezieht sich auf die deklarierte Einheit von 1 kg modifizierten, mineralischen Mörteln. Die Auswertungen beziehen sich auf das repräsentative (worst-case) Produkt je Gruppe, wobei die Daten für den Herstellungsprozess Durchschnittswerte verschiedener Hersteller und Werke sind.;;;1,2;;;;;true;false;false;true
7634a4f9-7057-4052-9a0a-6bece315dd8e;00.07.000;Spannbeton-Fertigteildecken;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;8ce49180-d9ba-5392-faf7-c40109817bb0;1m² Spannbeton- Fertigteildecke, (26,5 cm Deckendicke,C45/C55) Additional Info from Xml: Die deklarierten Produkte sind vorgespannte Fertigteile aus Beton unterschiedlicher Formate und Größen zur Verwendung als Deckenbauteil. Der Beton wird aus Gesteinskörnungen (Zuschlägen), Wasser, hydraulischen Bindemitteln (Zement), Zusatzmitteln und Zusatzstoffen hergestellt. Außer dem Spannstahl ist keine weitere Bewehrung nötig. Für die Herstellung der Spannbeton-Fertigteildecken werden kaltgezogene Spannstahllitzen und- Drähte verwendet. Es handelt sich dabei um hochfeste Stähle. Die Spannbeton-Fertigdecken werden mit Extrudern und Gleitfertiger auf beheizbaren Stahlbahnen als Hohlquerschnitte mit der erforderlichen Dicke und Spannbewehrung gefertigt. Nach der entsprechenden Aushärtungszeit des Betons, sodass eine Festigkeit erreicht ist, die es zulässt, die Deckenelemente weiter zu bearbeiten, werden die Deckenelemente auf die gewünschte Länge gesägt und auf dem Werksgelände zwischengelagert. Technische Daten: Es gilt die Allgemeine bauaufsichtliche Zulassung (/abZ/) Z-15.10-279 („Verwendung von Spannbeton-Hohlplatten nach /DIN EN 1168:2011-12/ und /DIN EN 1992-1-1:2011-01/ System BRESPA“) des Deutschen Instituts für Bautechnik, Berlin, vom 1.12.2014. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von einem Quadratmeter (1 m²) Fertigteildecken aus Spannbeton, hergestellt aus Zuschlägen der genannten Zusammensetzung. Die Durchschnittsbildung erfolgte absatzbezogen auf Basis der in den Werken der DW Systembau GmbH hergestellten Spannbeton-Fertigteildecken.;;360,37;1357;26,556374355195285;;;;true;false;true;true
889237e5-dd00-4e30-8494-a90eea9c4ab9;00.04.000;Thermofloc;Dämmstoffe / Zellulosefaser / Zellulose-Einblas-Dämmstoff;average dataset;1;m3;203859a0-1795-99b0-74ab-10d2a08af641;1 kg Thermofloc Zellulosedämmstoff Additional Info from Xml: Sortenreines Tageszeitungspapier wird mit Hilfe eines Staplers der Anlage zugeführt. Über ein Förderband gelangen die Tageszeitungen in den Schredder, wo das Papier zerkleinert wird. Das zerkleinerte Tageszeitungspapier wird in den Vorbehälter weitertransportiert, von wo aus es aus über Wiegebänder in die Refiner gelangt. In den Refinern wird das Papier zerfasert und mit mineralischen Additiven imprägniert. Über Rohrleitungen wird der Zellulosedämmstoff in einen Filter-Vorbehälter und von dort aus zur Absackung weitertransportiert, wo der Zellulosedämmstoff in Säcken luftdicht verpackt wird. Technische Daten: In folgender Tabelle sind die technischen Daten des Produktes zu sehen. Deklarierte Einheit: Für das Produkt Thermofloc wurden die erforderlichen Module gemäß EN 15804 für eine Ökobilanz „von der Wiege bis zum Werkstor mit Optionen“ gewählt. Die betrachteten Module A1 bis A3, A4 bis A5, C1 bis C4 sowie das Modul D wurden gemäß der PCR für Dämmstoffe aus Zellulosefasern für 1 kg Dämmung gewählt und deklariert.;;;45;;;;;true;false;true;true
0d1e4a59-4901-4973-a26f-1698f65a780f;00.03.000;Betonpflastersteine;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;m3;d289bee6-9bc3-16b3-772e-2bc079ef5dd3;1 m2 Betonpflasterstein;;188;2350;0,08;;;;true;false;false;false
e76bcf28-fc7d-408e-a554-6317256cb905;00.01.000;Betonpflastersteine;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;m3;51968ee4-9fb3-749c-f48e-7fc1c7d2d459;Betonpflastersteine, 8 cm [188 kg/m²];;188;2350;0,08;;;;true;false;false;false
