UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing
1b842259-9cfe-4e41-80b3-df0a11382984;00.03.000;Dachsteine;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1;m3;ff8ac4ed-d498-b4ff-3e55-ea89a8ae4b72;1t Betondachsteine Additional Info from Xml: Für die Herstellung der Betondachsteine werden die Rohstoffe Sand, Zement, Durchfärbung, Beschichtungsfarbe und Wasser benötigt. Die Rohstoffe werden nacheinander einem Intensivmischer zugegeben und anschließend der Formgebungsmaschine zugeführt. Der profilierte Frischbeton verlässt die Formgebungsmaschine als endloser Strang und wird mit einem durch Druckluft gesteuertem Messer auf Dachsteinlänge geschnitten. Zwecks Oberflächenveredlung wird der Dachstein mit einer Kunststoffdispersion auf Wasserbasis beschichtet. Die Dachsteine durchlaufen während der Herstellung zwei Trocknungsprozesse. Die fertigen Produkte werden verpackt und sind anschließend transportfertig. Deklarierte Einheit: Als deklarierte Einheit wurde gemäß der /PCR Teil B/ 1t Betondachsteine gewählt. Der Umrechnungsfaktor und der Flächenbezug der einzelnen Dachsteintypen  werden in der folgenden Tabelle dargestellt.;;;2150;;;;;true;true;false;false
ba0e47ef-b04a-4bbb-bc9d-dafc7b72edc2;00.04.000;Dachziegel Neufahrn;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1;m3;c0b0efd4-5da0-5228-5d9a-4d9c594a0dfb;Tondachziegel Additional Info from Xml: Deklariert werden Tondachziegel inkl. dem keramischen Zubehör mit den Modellbezeichnungen E58, E58 S, E58 MAX, E58 SL, Großfalz, Großfalz XXL, Reformpfanne XXL, Reformpfanne SL, Karat und Forma. Die Flächenziegel und das keramische Zubehör (Sonderziegel) der jeweiligen Modelle wurden nach ihrem Produktionsanteil im Betrachtungszeitraum 07/2013-06/2014 berücksichtigt. Die verschiedenen Produkte unterscheiden sich lediglich in Form und Farbe (Engobe). Die maßgebliche Zusammensetzung, d. h. der Ton- und Lehmanteil, ist weitgehend einheitlich. Engobe und Glasuren sind in Form einer Durchschnittsrezeptur in der Analyse enthalten. Die Hauptbestandteile der Tondachziegel sind Lößlehme und Tone. Die Gehalte können je nach keramischen Eigenschaften schwanken. Zur Verarbeitung der Rohstoffe wird Wasser zugesetzt, das in den weiteren Produktionsschritten als Wasserdampf entweicht. Die keramische Masse wird bei ca. 1100 °C in Tunnelöfen unter Verwendung von Erdgas gebrannt und so zu einem langlebigen Ziegel verbunden. Nähere Informationen zum Datenhintergrund sind der Erlus-EPD (Deklarationsnummer: EPD-ERL-20140214-IAC1-DE) zu entnehmen. Technische Daten: Die deklarierten Produkte erfüllen die Anforderungen der /DIN EN 1304/. Sie tragen die CE-Kennzeichnung entsprechend der /EU-Verordnung 765/2008/. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 t durchschnittlichen Dachziegel (Flächen- und Sonderziegel). Eine durchschnittliche Engoberezeptur fließt in die Berechnung ein.;;46;2020;0,02277227722772277;;;;true;true;false;false
573cebb5-2963-460f-8d61-0e3eecc1176e;00.05.000;Estrichelemente;Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;average dataset;1;m3;405a6704-5bd0-9454-be69-816e8095a070;1 m2 fermacell Estrichelement Additional Info from Xml: Gipsaufbereitung: Hauptrohstoff der Gipsfaser-Platte ist Gips. Gips enthält etwa 21% Kristallwasser. In der Aufbereitungsanlage wird dieser Stoff zunächst in einer Mahltrocknungsanlage aufgelockert, zerkleinert und entlang der Calcinierstrecke auf ca. 170°C erwärmt. Dabei entweicht ein Teil des Kristallwassers und es bildet sich ein Mehrphasengips, In einem anschließenden Zyklon wird die Luft vom Materialstrom getrennt und in einem Filter gereinigt. Der Materialstrom wird über eine Ageing-Strecke geführt und auf unter 80°C gekühlt. Gipsfaserplatten: Die beiden natürlichen Rohstoffe Gips und Papierfasern werden gemischt und nach Zugabe von Wasser – ohne weitere Bindemittel – unter hohem Druck zu stabilen Platten gepresst, getrocknet, beidseitig, kalibriert und oberflächenhydrophobiert sowie anschließend auf die benötigten Formate zugeschnitten. 2 Gipsfaserplatten werden anschließend versetzt zueinander zu einem Estrichelement verklebt. Technische Daten: Leistungswerte des Produkts entsprechend der Leistungserklärung in Bezug auf dessen Wesentliche Merkmale gemäß /ETA-03/006/. Deklarierte Einheit: Die Kern-EPD bezieht sich auf die Herstellung von 1 m2  FERMACELL Estrich-Element.;;;1180;;;;;true;false;true;false
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;m3;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte Additional Info from Xml: Melaminbeschichtete Leichtbauplatte mit Decklagen aus Dünnspanplatte und einer Kartonwaben-Mittellage Herstellung der Rohplatten (Decklage) 1. Rundholzzerspanung 2. Hackschnitzelaufbereitung 3. Restholzaufbereitung 4. Trocknung der Späne auf ca. 2-3 % Restfeuchte 5. Beleimung der Späne 6. Streuung der beleimten Späne auf ein Formband 7. Verpressen des Spänekuchens in einer kontinuierlich arbeitenden Kalander-Heißpresse 8. Schleifen der Ober- und Unterseite 9. Aufteilen und Besäumen des Plattenstranges zu Rohplattenformaten 10. Abstapelung zu Großstapeln Herstellung der Imprägnate 1. Abwicklung der Rohpapiere 2. Aufnahme von Imprägnierharz (MUF) in der Anlage 3. Trocknung des imprägnierten Papiers in beheizten Trocknern 4. Formatierung des endlosen Papiers mittels Querschneider 5. Abstapelung der formatierten Bögen auf Paletten Herstellung der beschichteten Spanplatten: 1. Legung der Imprägnate auf die Oberund Unterseite der Rohplatte 2. Verpressung der Platte in der Heißpresse mit verschieden strukturierten Pressblechen 3. Qualitätssortierung und Abstapelung Herstellung der Leichtbauplatten 1. Auftrennung der beiden verbundenen beschichteten Platten mittels Längskreissägen und Quertrennmesser 2. Beleimung der beiden Decklagen mit PURKlebstoffsystem 3. Expansion der Sechseckwabe im Durchlauftrockner 4. Verbindung der beleimten Decklage mit der Mittellage 5. Kalibrierung des Verbundelementes in einer kontinuierlichen Kalibrierpresse 6. Besäumen und setzen von Trennschnitten 7. Abstapelung und Verpackung der Platten Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung voneinem Kubikmeter beschichteter Eurolight Platte.Unbeschichtete Eurolight Platten weisen eine mittlereDichte von 12,4 kg/m² und eine durchschnittliche Gesamtdicke von 42,6 mm auf. Der Durchschnitt wurde nach Produktionsmengen der einzelnen Dicken gewichtet.;;;254;;;;;true;true;false;true
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;m3;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte Additional Info from Xml: PUR-verleimte Leichtbauplatte aus Dünnspanplatte (Decklagen) und Sechseck-Kartonwabe (Mittellage) Herstellung der Rohplatten (Decklage) 1. Rundholzzerspanung 2. Hackschnitzelaufbereitung 3. Restholzaufbereitung 4. Trocknung der Späne auf ca. 2-3 % Restfeuchte 5. Beleimung der Späne 6. Streuung der beleimten Späne auf ein Formband 7. Verpressen des Spänekuchens in einer kontinuierlich arbeitenden Kalander-Heißpresse 8. Schleifen der Ober- und Unterseite 9. Aufteilen und Besäumen des Plattenstranges zu Rohplattenformaten 10. Abstapelung zu Großstapeln Herstellung der Leichtbauplatten 1. Auftrennung der beiden verbundenen rohen Platten mittels Längskreissägen und Quertrennmesser 2. Beleimung der beiden Decklagen mit PURKlebstoffsystem 3. Expansion der Sechseckwabe im Durchlauftrockner 4. Verbindung der beleimten Decklage mit der Mittellage 5. Kalibrierung des Verbundelementes in einer kontinuierlichen Kalibrierpresse 6. Besäumen und setzen von Trennschnitten 7. Abstapelung und Verpackung der Platten Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung voneinem Quadratmeter roher Eurolight Platte.Rohe Eurolight Platten weisen ein mittleresFlächengewicht von 12 kg/m² und eine durchschnittliche Gesamtdicke von 44,5 mm auf. Der Durchschnitt wurde nach Produktionsmengen der einzelnen Dicken gewichtet.;;;254;;;;;true;true;false;true
eec9c184-852b-47e5-b380-7ae5af203b65;00.04.000;Dachziegel;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1;m3;34ea0754-771c-342b-f5e8-72304e54b442;1t Dachziegel inklusive Zubehör Additional Info from Xml: Für die Herstellung der Dachziegel werden die natürlichen Rohstoffe Sand, Ton, Wasser, Bariumcarbonat und Engobe benötigt. Die Mischungen schwanken je nach keramischen Eigenschaften. Der Ton wird getrocknet und gleichzeitig gemahlen. Das Mehl wird dann im Mischer mit Wasser versetzt.Mittels einer Vacuumstrangpresse werden vorgeformte Tonbatzen gezogen, die in einer Revolverpresse zwischen zwei Gipsformen zu Dachziegelrohlingen gepresst werden. Diese feuchten, noch plastischen Rohlinge trocknen innerhalb von 12 Stunden in Trockenkammern unter Einwirkung von angewärmter Luft. Die getrockneten Dachziegel werden nach Bedarf mit Engoben beschichtet. Das anfallende Engobenwaschwasser wird dem Prozess wieder zugeführt. Das auf das Trocknen folgende Brennen wird in einem kontinuierlich arbeitenden Tunnelofen ausgeführt. Nach dem Brennen werden die Dachziegel sortiert und auf Paletten dem Versand zur Verfügung gestellt. Je nach Form werden die Dachziegel individuell verpackt. Deklarierte Einheit: Als deklarierte Einheit wurde gemäß der /PCR Teil B/ 1t Dachziegel gewählt. Der Flächenbezug sowie der Umrechnungsfaktor werden in der folgenden Tabelle dargestellt.;;45;2180;0,020642201834862386;;;;true;true;false;true
0689d6a3-cd7c-4710-9709-90fe747f60c0;00.02.000;HEBEL Bewehrter Porenbeton;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;a518c667-dfc7-4d6f-74f1-fcc63f740af3;1 m³ HEBEL bewehrter Porenbeton (550 kg/m³) Additional Info from Xml: Die vorliegenden EPD-Ergebnisse beruhen auf der Ökobilanz von bewehrten Porenbeton-Produkten unterschiedlicher Formate. Porenbeton gehört zur Gruppe der porosierten dampfgehärteten Leichtbetone. Hauptgrundstoffe sind Sand, Zement, Branntkalk und Aluminium als Porenbildner. Herstellung: Der gemahlene Quarzsand wird mit den anderen Grundstoffen unter Zugabe von Wasser und Aluminiumpaste, in einem Mischer zu einer Rohmasse gemischt und in Gießformen gegossen. Die Stahlbewehrung wird im Porenbetonwerk gefertigt. Die Bewehrungselemente werden vor dem Einbau in die Gießform durch Tauchbaden korrosionsschutzbehandelt. Das Wasser löscht unter Wärmeentwicklung den Kalk. Das Aluminium reagiert im alkalischen Milieu. Dabei bildet sich gasförmiger Wasserstoff, der die Poren in der Masse erzeugt und ohne Rückstände entweicht. Die Poren besitzen meist einen Durchmesser von 0,5 – 1,5 mm und sind ausschließlich mit Luft gefüllt. Nach dem ersten Abbinden entstehen halbfeste Rohblöcke, aus denen maschinell und mit hoher Genauigkeit die Elemente geschnitten werden. Die Ausbildung der endgültigen Eigenschaften der Bauteile erfolgt während der anschließenden Dampfhärtung über 5 – 12 Stunden bei etwa 190 °C und einem Druck von ca. 12 bar in Dampfdruckkesseln, den sog. Autoklaven. Hier bilden sich aus den eingesetzten Stoffen Calcium-Silikathydrate, die dem in der Natur vorkommenden Mineral Tobermorit entsprechen. Die Reaktion des Materials ist mit der Entnahme aus dem Autoklaven abgeschlossen. Der Dampf wird nach Abschluss des Härtungsprozesses für weitere Autoklavzyklen verwandt. Das anfallende Kondensat wird als Prozesswasser genutzt. Auf diese Weise wird Energie eingespart und es fällt kein Abwasser an. Systemgrenzen: Im Einzelnen werden folgende Prozesse der Herstellung der Porenbetonprodukte einbezogen: Bereitstellungsprozesse von Rohstoffen, Verpackungen und Energie, Transporte der Rohstoffe (Zement, Kalk, Sand, Bewehrungsstahl etc.) zum Produktionsstandort, Herstellprozess im Werk inklusive energetischer Aufwendungen, Herstellung von Hilfsstoffen, Entsorgung anfallender Reststoffe. Alle beschriebenen Prozesse sind Teil der Module A1-A3. Hintergrundsystem: Zur Modellierung der Porenbeton-Herstellung wurde das von der thinkstep AG entwickelte Software-System zur Ganzheitlichen Bilanzierung "GaBi ts" eingesetzt. Die in der GaBi-Datenbank enthaltenen konsistenten Datensätze sind in der online GaBi-Dokumentation dokumentiert. Die Ökobilanz wurde für den Bezugsraum Deutschland erstellt. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m³ bewehrten HEBEL Porenbeton mit einer durchschnittlichen Rohdichte von 550 kg/m³ inklusive 25,6 kg Bewehrungsstahl.;;;550;;;;0,00182;true;false;true;false
f7235d64-16e5-42d0-94c8-797a3cd6cd37;00.05.000;Kalksandstein;Mineralische Baustoffe / Steine und Elemente / Kalksandstein;average dataset;1;m3;9f378a7c-9fc1-0add-dc50-0ed3498c6500;1 t Kalksandstein Additional Info from Xml: Grundstoffe: Sand: 65 - 85 M-%, Kies: 0 - 45 M-%, Brechsand: 0 - 10 M-%, Branntkalk: 5 - 12 M-%, Gesteinsmehl: 0 - 2 M-%, Zusätzlich werden 3 - 6 M-% Wasser (bezogen auf die Feststoffe) eingesetzt. Herstellung: Die verwendeten Rezepturen werden den jeweiligen Rohstoffeigenschaften angepasst und variieren innerhalb der unter 2.6. Grundstoffe/Hilfsstoffe angegebenen Schwankungsbreiten. Weitere Stoffe sind nicht enthalten. Die Rohstoffe (Sand, Branntkalk und Wasser) werden entsprechend der jeweiligen Rezeptur gravimetrisch dosiert und intensiv miteinander vermischt. Anschließend wird die Rohstoffmischung in einem Reaktor genannten Reaktionsbehälter zwischengelagert, wobei es zu einer exothermen Reaktion kommt. Damit wird sichergestellt, dass der Branntkalk vor der Weiterverarbeitung vollständig zu Kalkhydrat ablöscht. Vom Reaktor gelangt das Mischgut in einen Nachmischer, in dem es durch Wasserzugabe auf Pressfeuchte gebracht wird. Die Verdichtung und Formgebung der Rohmasse erfolgt im Anschluss hieran in Formkästen durch die Kalksandsteinpressen. Die Rohlinge werden dann mittels einer Stapelautomatik auf Härtewagen gestapelt und über ein Schiebebühnensystem per Gleisanlage in den Härtekessel transportiert. Die Ausbildung der endgültigen Eigenschaften der Bauteile erfolgt während der anschließenden Dampfhärtung über 6 – 12 Stunden bei etwa 200°C und einem Druck von ca. 16 bar in Dampfdruckkesseln, den sog. Autoklaven. Hier bilden sich aus den eingesetzten Stoffen Calcium-Silikat-Hydrate. Die Reaktion des Materials ist mit der Entnahme aus dem Autoklav abgeschlossen. Der Dampf wird nach Abschluss des Härtungsprozesses für weitere Autoklavzyklen verwandt. Das anfallende Kondensat wird soweit technologisch möglich als Prozesswasser genutzt. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 t Kalksandstein.Durch Multiplikation der Ergebnisse mit der Rohdichteklasse, z.B. RDK 2,0, erhält man die Ökobilanzergebnisse pro m³.;;;1800;;;;;true;true;false;false
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;specific dataset;1;m3;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF Additional Info from Xml: Herstellung, Transport zur Baustelle, Transport von der Baustelle zum Recycling/zur Deponie sowie Behandlung am Lebenszyklusende (Deponierung bzw. Recycling) der Gipsplatte Knauf Safeboard GKF. Die Gipsplatte Knauf Safeboard GKF besteht aus abgebundenem Gips, mineralischen Zuschlägen, Additiven und Ummantelungskarton. Technische Daten: Folgende (bau)technische Daten im Lieferzustand sind, falls für das deklarierte Produkt relevant, unter Verweis auf die Prüfnorm zu nennen: Deklarierte Einheit: Die Deklarierte Einheit ist 1 m² der Gipsplatte Knauf Safeboard GKF mit einer Dicke von 12,5 mm, Flächengewicht ca. 17,8 kg.;;;1400;;;;;true;true;true;true
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;specific dataset;1;m3;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF Additional Info from Xml: Herstellung, Transport zur Baustelle, Transport von der Baustelle zur Deponie/zum Recycling sowie Behandlung am Lebenszyklusende (Deponierung bzw. Recycling) der Gipsplatte Knauf Silentbard GKF. Die Gipsplatte Knauf Silentboard GKF besteht aus einem Spezialgipskern, Additiven und Ummantelungskarton. Technische Daten: Folgende (bau)technische Daten im Lieferzustand sind für das deklarierte Produkt relevant: Deklarierte Einheit: Die deklarierte Einheit ist 1 m² der Gipsplatte Knauf Silentboard GKF mit einer Dicke von 12,5 mm, Flächengewicht ca. 17,5 kg/m².;;;1400;;;;;true;true;true;true
