UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;qm;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²) Additional Info from Xml: Die deklarierten Betonsteine werden nach DIN EN 1338 hergestellt. Der Produktionsprozess ist stark mechanisiert und bei allen Herstellern sehr ähnlich. Der Transport auf die Baustelle erfolgt in der Regel auf Holzpaletten . Die Steine sind dabei mit Kunststoffbändern und / oder Stretch-/Abdeckfolie zu einer Ladeeinheit verpackt. Weitere Informationen auf www.betonstein.org Technische Daten: Die deklarierten Betonpflastersteine sind so hergestellt, dass sie einen ausreichenden Gleit-/Rutschwiderstand aufweisen.Folgende technische Eigenschaften sind im Lieferzustand gem. /DIN EN 1338/ Pflastersteine aus Beton gegeben: Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von    1 m² Betonpflastersteine grau mit Vorsatz mit einem mittleren Flächengewicht von 225 kg/m² und einer Pflastersteindicke von 10 cm.Jedoch werden in dieser EPD zusätzliche Informationen zum möglichen Straßenaufbau, Installationsaufwendungen, Montageverlusten und zur Entsorgung im EPD-Anhang auswiesen.;;225;;;;;0,0044;A1-A3;251;479;311;366;496;356;115;234;0;234;131;0;131;848;0;0;869;31;696;649;0;0;0;0;0
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;qm;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke Additional Info from Xml: Die deklarierten Produkte sind Pflastersteine unterschiedlicher Formate in der Steinstärke 12 cm. Das Flächengewicht beträgt 270 kg/m² mit einer Edelsplitt-Oberfläche, bestehend aus Grau- und Weißzement mit Sand- und Edelsplittbestandteilen. Die Steine werden nach dem Aushärten durch eine Schleifanlage bzw. danach angeschlossener Sandstrahlanlage in einem oder zwei Schritten bearbeitet. In den Umweltergebnissen enthalten ist die Bearbeitung in zwei Schritten mit Schleifen und Sandstrahlen. Ein EPD-Anhang ermöglicht zusätzlich die getrennte Berechnung der Oberflächenbehandlungen sowie Variationsmöglichkeiten hinsichtlich Dicke des Hinterbetons in 1 cm Stärke-Abständen. Der Beton wird aus Zuschlägen (Gesteinkörnungen) Zement, Wasser, Zusatzmitteln und Zusatzstoffen hergestellt. Die Ökobilanz beinhaltet die Herstellung des Betonpflastersteins inclusive Rohstoffgewinnung, Energiebereitstellung, Rohstofftransport zum Werk sowie Aufwände für die eigentliche Herstellung. Technische Daten: Folgende technische Eigenschaften sind gemäß Leistungserklärung für Pflastersteine aus Beton nach /EN 1338/ im Lieferzustand gegeben: Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m² Betonpflasterstein mit Edelsplittvorsatz und geschliffener und glanzgestrahlter Oberfläche. Die Steindicke beträgt 12 cm mit einem Flächengewicht von 270 kg/m².In einem EPD-Anhang erfolgt die Ausweisung der Umweltergebnisse pro 1 cm Dicke, so dass eine Variation der Steindicke möglich ist. Darüber hinaus sind die Umweltergebnisse für die getrennten Oberflächenbehandlungen Sandstrahlen und Schleifen sowie die Kombination beider pro 1 m² ausgewiesen.;;270;;;;;0,0037;A1-A3;498;121;729;76;104;745;260;40;21;61;285;11;296;626;0;0;13;256;474;142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;qm;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz Additional Info from Xml: Die deklarierten Produkte sind Pflastersteine unterschiedlicher Formate in der Steinstärke 6 cm. Das Flächengewicht beträgt 135 kg/m² mit einer mischfarbigen (melierten) Oberfläche, bestehend aus Weiß- und Grauzement mit Sandbestandteilen, ansonsten unbearbeitet. Der Beton wird aus Zuschlägen (Gesteinkörnungen) Zement, Wasser, Zusatzmitteln und Zusatzstoffen hergestellt. Für den Kernbeton wird nur Grauzement verwendet. Im Gegensatz dazu enthält der Vorsatz aufgrund der Schwarz-Weiß-Melierung teilweise Weißzement und zusätzlich Grauzement unter Zugabe von Pigmenten. Die Ökobilanz beinhaltet die Herstellung des Betonpflastersteins inclusive Rohstoffgewinnung, Energiebereitstellung, Rohstofftransport zum Werk sowie Aufwände für die eigentliche Herstellung. Technische Daten: Folgende technische Eigenschaften sind gemäß Leistungserklärung für Pflastersteine aus Beton nach /EN 1338/ im Lieferzustand gegeben: Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m² Betonpflasterstein mit schwarz-weiß meliertem Vorsatz und einer Steindicke von 6 cm. Das Flächengewicht beträgt 135 kg/m².In einem EPD-Anhang erfolgt die Ausweisung der Umweltergebnisse pro 1 cm Dicke, so dass eine Variation der Steindicke möglich ist. Darüber hinaus sind die Umweltergebnisse für die Oberflächenbehandlungen Sandstrahlen und Schleifen sowie die Kombination beider pro 1 m² ausgewiesen.;;135;;;;;0,0074;A1-A3;181;912;271;295;389;277;984;119;115;234;1103;7;111;368;0;0;7;3;204;505;0;0;0;0;0
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;m3;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte Additional Info from Xml: Melaminbeschichtete Leichtbauplatte mit Decklagen aus Dünnspanplatte und einer Kartonwaben-Mittellage Herstellung der Rohplatten (Decklage) 1. Rundholzzerspanung 2. Hackschnitzelaufbereitung 3. Restholzaufbereitung 4. Trocknung der Späne auf ca. 2-3 % Restfeuchte 5. Beleimung der Späne 6. Streuung der beleimten Späne auf ein Formband 7. Verpressen des Spänekuchens in einer kontinuierlich arbeitenden Kalander-Heißpresse 8. Schleifen der Ober- und Unterseite 9. Aufteilen und Besäumen des Plattenstranges zu Rohplattenformaten 10. Abstapelung zu Großstapeln Herstellung der Imprägnate 1. Abwicklung der Rohpapiere 2. Aufnahme von Imprägnierharz (MUF) in der Anlage 3. Trocknung des imprägnierten Papiers in beheizten Trocknern 4. Formatierung des endlosen Papiers mittels Querschneider 5. Abstapelung der formatierten Bögen auf Paletten Herstellung der beschichteten Spanplatten: 1. Legung der Imprägnate auf die Oberund Unterseite der Rohplatte 2. Verpressung der Platte in der Heißpresse mit verschieden strukturierten Pressblechen 3. Qualitätssortierung und Abstapelung Herstellung der Leichtbauplatten 1. Auftrennung der beiden verbundenen beschichteten Platten mittels Längskreissägen und Quertrennmesser 2. Beleimung der beiden Decklagen mit PURKlebstoffsystem 3. Expansion der Sechseckwabe im Durchlauftrockner 4. Verbindung der beleimten Decklage mit der Mittellage 5. Kalibrierung des Verbundelementes in einer kontinuierlichen Kalibrierpresse 6. Besäumen und setzen von Trennschnitten 7. Abstapelung und Verpackung der Platten Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung voneinem Kubikmeter beschichteter Eurolight Platte.Unbeschichtete Eurolight Platten weisen eine mittlereDichte von 12,4 kg/m² und eine durchschnittliche Gesamtdicke von 42,6 mm auf. Der Durchschnitt wurde nach Produktionsmengen der einzelnen Dicken gewichtet.;;;254;;;;;A1-A3;-16169476932;5644085994;13583386854;5695850178;15091275888;14947155018;3547389654;10098994788;3860155602;4870050966;3061637514;6326484426;3694288014;7879842;0;0;816705504;369838224;12919690188;5821968798;0;0;0;0;0
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;m3;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte Additional Info from Xml: PUR-verleimte Leichtbauplatte aus Dünnspanplatte (Decklagen) und Sechseck-Kartonwabe (Mittellage) Herstellung der Rohplatten (Decklage) 1. Rundholzzerspanung 2. Hackschnitzelaufbereitung 3. Restholzaufbereitung 4. Trocknung der Späne auf ca. 2-3 % Restfeuchte 5. Beleimung der Späne 6. Streuung der beleimten Späne auf ein Formband 7. Verpressen des Spänekuchens in einer kontinuierlich arbeitenden Kalander-Heißpresse 8. Schleifen der Ober- und Unterseite 9. Aufteilen und Besäumen des Plattenstranges zu Rohplattenformaten 10. Abstapelung zu Großstapeln Herstellung der Leichtbauplatten 1. Auftrennung der beiden verbundenen rohen Platten mittels Längskreissägen und Quertrennmesser 2. Beleimung der beiden Decklagen mit PURKlebstoffsystem 3. Expansion der Sechseckwabe im Durchlauftrockner 4. Verbindung der beleimten Decklage mit der Mittellage 5. Kalibrierung des Verbundelementes in einer kontinuierlichen Kalibrierpresse 6. Besäumen und setzen von Trennschnitten 7. Abstapelung und Verpackung der Platten Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung voneinem Quadratmeter roher Eurolight Platte.Rohe Eurolight Platten weisen ein mittleresFlächengewicht von 12 kg/m² und eine durchschnittliche Gesamtdicke von 44,5 mm auf. Der Durchschnitt wurde nach Produktionsmengen der einzelnen Dicken gewichtet.;;;254;;;;;A1-A3;-20771757288;4950433076;11971371536;5003875946;13380682154;14078496354;3042617486;9585184284;389700770;4855521912;2609361304;5621979104;3171554998;6872732;0;0;680505878;3427891036;10352674494;5110171390;0;0;0;0;0
d9a1408e-b6bf-4fac-9b94-d89b580cc131;00.04.000;Fortrac® MPT;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;qm;3314f74b-238f-761f-540f-89a828df99b1;1 m2 geosynthetisches Gitter Additional Info from Xml: Die Herstellung der Gitterstruktur erfolgt auf Textilmaschinen. Die Querfäden (CMD) bestehen vollständig aus Polyamid, die Längsfäden (MD) aus Polyvinylalkohol.Die Produkte werden entweder gewebt, oder geraschelt. Beim Rascheln wird im Gegensatz zum Webprozess auch Polyester als Bindekette verwendet. Anschließend wird auf die Geogitter eine Polymer-Schutzummantelung aufgebracht. Die feste Rollengröße des geosynthetischen Gitters beträgt 1000m² mit einer Breite von 5 Metern. Nachdem das Garn zu einem synthetischen Maschengitter verarbeitet worden ist, wird das Garn mit Beschichtungspaste benetzt und in einem Durchlaufofen getrocknet. Dabei wird das neu entstandene Produkt Fortrac® MPT auf ein Papprohr aufgewickelt und verpackt. Technische Daten: Das folgende Kapitel enthält Angaben über die Leistung der Produkte in Bezug auf deren wesentliche Merkmale gemäß EN 13249 ff. soweit sie in der Leistungserklärung enthalten und spezifiziert sind. Deklarierte Einheit: Die Ökobilanz wurde für jeden Produktartikel einzeln aufgestellt. Die Ökobilanzergebnisse wurden anschließend summiert und über die gesamte Produktionsmenge gemittelt. Als deklarierte Einheit wurde gemäß /PCR Teil B/ 1 m2 geosynthetisches Geogitter gewählt. Der Umrechnungsfaktor und der Flächenbezug der einzelnen Produktartikel können der folgenden Tabelle entnommen werden.;;;;;;;2,75;A1-A3;137556;267092;688126;455321;553245;53608;246145;157301;0;157301;23;607;291;0;0;0;832632;428636;171676;686845;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50 BF.HI B x H: 3050 mm x 3050 mm Additional Info from Xml: Die oberflächenbehandelten Aluminiumprofile werden auf Maß geschnitten und für die entsprechende Rahmengröße konfektioniert. Der dabei entstehende Verschnitt an Aluminiumprofilen wird dem Recycling zugeführt. Die Isolationsprofile werden mit den Aluminiumprofilen fest verbunden. Anschließend werden die Profile am Baukörper zu Rahmen fest verbunden und die Dichtungen in die vorgesehenen Nuten eingezogen. Danach wird die Verglasung eingesetzt und mit Verglasungsprofilen gesichert. In die Fassadenrahmenkonstruktion können auch fertige Fensterlemente Schüco AWS eingebaut werden. Abschließend erfolgt eine Funktionskontrolle. Technische Daten: Gemäß CE-Kennzeichnung sind für Feld 1 folgende bautechnische Daten für das Element zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist ein Fassadenelement mit der Größe 3050 mm x 3050 mm.;;;;;;;;A1-A3;283782;316;859;1384;152;397;387109;939663;453;940116;419456;96197;429075;4614;0;0;1449;606;28945;172;0;0;0;0;0
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm Additional Info from Xml: Die oberflächenbehandelten Aluminiumprofile werden auf Maß geschnitten und für die entsprechende Rahmengröße konfektioniert. Der dabei entstehende Verschnitt an Aluminiumprofilen wird dem Recycling zugeführt. Die Isolationsprofile werden mit den Aluminiumprofilen fest verbunden. Anschließend werden die Profile am Baukörper zu Rahmen fest verbunden und die Dichtungen in die vorgesehenen Nuten eingezogen. Danach wird die Verglasung eingesetzt und mit Verglasungsprofilen gesichert. In die Fassadenrahmenkonstruktion können auch fertige Fensterlemente Schüco AWS eingebaut werden. Abschließend erfolgt eine Funktionskontrolle. Technische Daten: Gemäß CE-Kennzeichnung sind für Feld 1 folgende bautechnische Daten für das Element zu nennen: Deklarierte Einheit: Die deklarierte Einheit ist ein Fassadenelement mit der Größe 3050 mm x 3050 mm.;;;;;;;;A1-A3;106665;216;444;368;548;591;128483;229167;0;229167;141066;50745;14614;2725;0;0;513;81;13508;722;0;0;0;0;0
0689d6a3-cd7c-4710-9709-90fe747f60c0;00.02.000;HEBEL Bewehrter Porenbeton;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;m3;a518c667-dfc7-4d6f-74f1-fcc63f740af3;1 m³ HEBEL bewehrter Porenbeton (550 kg/m³) Additional Info from Xml: Die vorliegenden EPD-Ergebnisse beruhen auf der Ökobilanz von bewehrten Porenbeton-Produkten unterschiedlicher Formate. Porenbeton gehört zur Gruppe der porosierten dampfgehärteten Leichtbetone. Hauptgrundstoffe sind Sand, Zement, Branntkalk und Aluminium als Porenbildner. Herstellung: Der gemahlene Quarzsand wird mit den anderen Grundstoffen unter Zugabe von Wasser und Aluminiumpaste, in einem Mischer zu einer Rohmasse gemischt und in Gießformen gegossen. Die Stahlbewehrung wird im Porenbetonwerk gefertigt. Die Bewehrungselemente werden vor dem Einbau in die Gießform durch Tauchbaden korrosionsschutzbehandelt. Das Wasser löscht unter Wärmeentwicklung den Kalk. Das Aluminium reagiert im alkalischen Milieu. Dabei bildet sich gasförmiger Wasserstoff, der die Poren in der Masse erzeugt und ohne Rückstände entweicht. Die Poren besitzen meist einen Durchmesser von 0,5 – 1,5 mm und sind ausschließlich mit Luft gefüllt. Nach dem ersten Abbinden entstehen halbfeste Rohblöcke, aus denen maschinell und mit hoher Genauigkeit die Elemente geschnitten werden. Die Ausbildung der endgültigen Eigenschaften der Bauteile erfolgt während der anschließenden Dampfhärtung über 5 – 12 Stunden bei etwa 190 °C und einem Druck von ca. 12 bar in Dampfdruckkesseln, den sog. Autoklaven. Hier bilden sich aus den eingesetzten Stoffen Calcium-Silikathydrate, die dem in der Natur vorkommenden Mineral Tobermorit entsprechen. Die Reaktion des Materials ist mit der Entnahme aus dem Autoklaven abgeschlossen. Der Dampf wird nach Abschluss des Härtungsprozesses für weitere Autoklavzyklen verwandt. Das anfallende Kondensat wird als Prozesswasser genutzt. Auf diese Weise wird Energie eingespart und es fällt kein Abwasser an. Systemgrenzen: Im Einzelnen werden folgende Prozesse der Herstellung der Porenbetonprodukte einbezogen: Bereitstellungsprozesse von Rohstoffen, Verpackungen und Energie, Transporte der Rohstoffe (Zement, Kalk, Sand, Bewehrungsstahl etc.) zum Produktionsstandort, Herstellprozess im Werk inklusive energetischer Aufwendungen, Herstellung von Hilfsstoffen, Entsorgung anfallender Reststoffe. Alle beschriebenen Prozesse sind Teil der Module A1-A3. Hintergrundsystem: Zur Modellierung der Porenbeton-Herstellung wurde das von der thinkstep AG entwickelte Software-System zur Ganzheitlichen Bilanzierung "GaBi ts" eingesetzt. Die in der GaBi-Datenbank enthaltenen konsistenten Datensätze sind in der online GaBi-Dokumentation dokumentiert. Die Ökobilanz wurde für den Bezugsraum Deutschland erstellt. Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m³ bewehrten HEBEL Porenbeton mit einer durchschnittlichen Rohdichte von 550 kg/m³ inklusive 25,6 kg Bewehrungsstahl.;;;550;;;;0,00182;A1-A3;307029;521172;378786;341596;412382;2159;195344;346646;405438;38719;21102;259699;213617;0;183426;281795;110143;121859;923072;725272;0;0;0;0;0
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;specific dataset;1;m3;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF Additional Info from Xml: Herstellung, Transport zur Baustelle, Transport von der Baustelle zum Recycling/zur Deponie sowie Behandlung am Lebenszyklusende (Deponierung bzw. Recycling) der Gipsplatte Knauf Safeboard GKF. Die Gipsplatte Knauf Safeboard GKF besteht aus abgebundenem Gips, mineralischen Zuschlägen, Additiven und Ummantelungskarton. Technische Daten: Folgende (bau)technische Daten im Lieferzustand sind, falls für das deklarierte Produkt relevant, unter Verweis auf die Prüfnorm zu nennen: Deklarierte Einheit: Die Deklarierte Einheit ist 1 m² der Gipsplatte Knauf Safeboard GKF mit einer Dicke von 12,5 mm, Flächengewicht ca. 17,8 kg.;;;1400;;;;;A1-A3;36220800;808068800;11916800;238649600;28380800;31631891200;49862400;52657046400;23947593600;766046400;52122436800;3271553600;52449600;44385846400;0;0;1600300800;8657398400;8736190400;10367302400;0;0;0;0;0
