UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;qm;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;;;;0,0044;A1-A3;25,1;4,79E-10;0,00311;0,0366;0,00496;3,56E-05;115;23,4;0;23,4;131;0;131;8,48;0;0;0,0869;0,00031;6,96;0,00649;0;0;0;0;0
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;qm;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;;;;0,0037;A1-A3;49,8;1,21E-09;0,00729;0,076;0,0104;7,45E-05;260;40;21;61;285;11;296;6,26;0;0;0,13;0,0256;4,74;0,0142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;;;;0,0074;A1-A3;18,1;9,12E-10;0,00271;0,0295;0,00389;2,77E-05;98,4;11,9;11,5;23,4;110,3;0,7;111;3,68;0;0;0,07;0,0003;2,04;0,00505;0;0;0;0;0
825fc872-5d02-40f2-a68b-fe71f11a817d;00.04.000;Calciumsulfat-Fließestrich und Konventioneller Calciumsulfatestrich;Mineralische Baustoffe / Bindemittel / Gips;average dataset;1;kg;8cfda20d-de86-73b5-6aa7-cbc095783246;1 kg Estrich (trocken, vor Wasserzugabe);;;1500;;;;;A1-A3;0,111;7,08E-12;1,18E-05;0,000173;2,52E-05;3,75E-08;1,18;0,165;0;0,165;0,913;0;0,913;0;0;0;0,168;6,32E-07;0,352;5,9E-05;0;0;0;0;0
d2e01b0a-bfdf-412a-996e-20d592df0d5f;00.02.000;Durchschnittlicher Zement D;Mineralische Baustoffe / Bindemittel / Zement;average dataset;1000;kg;c0cf6e0d-69ee-7e28-2b64-f034ccda2b85;1 t Zement;;;;;;;0,001;A1-A3;587;2,03E-07;0,12;0,75;0,187;0,00416;1830;360;0;360;2050;0;2050;16,5;669;1274;2;0,0006;2,62;0,088;0;0;0;0;0
8ac8faaf-ca43-4d5c-80e6-2e45fb456d23;00.04.000;Eurolight beschichtet;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;ae21ded8-3ae8-5cac-4445-700acd6daa0c;1 m² beschichtete Leichtbauplatte;;;254;;;;0,081;A1-A3;-7,85918;2,74331E-10;0,00660221;0,0276847;0,00733512;7,26507E-06;172,421;49,0862;187,623;236,709;148,811;30,7499;179,561;0,383;0;0;0,039696;0,00017976;0,0627962;0,00282977;0;0;0;0;0
acc44187-3de9-462d-b332-4b1806e5897c;00.04.000;Eurolight roh;Holz / Holzwerkstoffe / Spanplatten;specific dataset;1;qm;2fd5620b-a381-74b7-aa50-c6154e638f6f;1 m² rohe Eurolight-Platte;;;254;;;;0,083;A1-A3;-9,85284;2,34818E-10;0,00567848;0,0237353;0,00634697;6,67797E-06;144,323;45,4662;184,85;230,316;123,772;26,6672;150,439;0,326;0;0;0,032279;0,000162598;0,0491067;0,00242395;0;0;0;0;0
d9a1408e-b6bf-4fac-9b94-d89b580cc131;00.04.000;Fortrac® MPT;Kunststoffe / Folien und Vliese / Technische Textilien;specific dataset;1;qm;3314f74b-238f-761f-540f-89a828df99b1;1 m2 geosynthetisches Gitter;;;;;;;2,75;A1-A3;1,37556;2,67092E-08;0,000688126;0,00455321;0,000553245;0,0053608;24,6145;1,57301;0;1,57301;23;6,07;29,1;0;0;0;0,00832632;4,28636E-06;1,71676;0,000686845;0;0;0;0;0
de0c1710-057b-46ff-b6da-9fb26c113fa3;00.02.000;FW 50 BF.HI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;6e1f831e-055c-b539-bee0-3dfae46ea64f;FW 50 BF.HI B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;2837,82;3,16E-05;0,859;13,84;1,52;0,0397;38710,9;9396,63;4,53;9401,16;41945,6;961,97;42907,5;46,14;0;0;14,49;6,06;289,45;1,72;0;0;0;0;0
a287ee57-814f-4a5d-bccd-64b207385f47;00.02.000;FWS 50 SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;8bf9ba51-c280-d540-f69a-b71b08bdbc64;Schüco FWS 50 B x H: 3050 mm x 3050 mm;;;;;;;;A1-A3;1066,65;2,16E-05;0,444;3,68;0,548;0,00591;12848,3;2291,67;0;2291,67;14106,6;507,45;14614;27,25;0;0;5,13;8,1E-05;135,08;0,722;0;0;0;0;0
