UUID;Version;Name;Kategorie;Konformität;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;DIN EN 15804 / ISO 14025;average dataset;1;m3;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;0,1;;;;true;false;false;false
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;DIN EN 15804 / ISO 14025;specific dataset;1;m3;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;0,12;;;;true;false;false;false
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;DIN EN 15804 / ISO 14025;specific dataset;1;m3;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;0,06;;;;true;false;false;false
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;DIN EN 15804 / ISO 14025;specific dataset;1;m3;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;;true;true;true;true
2c127685-17be-41df-8cc4-1f3720813a7e;00.04.000;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;cd52d5c7-caef-9a92-ae10-bd8650fa9eac;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2 / 1kg;;;1200;;;;;true;false;false;true
c820c4a1-b7f6-4024-98d3-b737558988b8;00.03.000;PCI FT® Extra, PCI FT® Flex, PCI FT® Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;3805cb73-3ef7-9d5a-5107-e3c524fabce0;1 kg PCI FT® Extra, PCI FT® Flex oder PCI FT® Rapid;;;1,2;;;;;true;false;false;true
6f38efae-dc15-4667-96a4-1b87be6a80a5;00.04.000;PCI Nanofug, PCI Nanofug Premium;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;3570896b-6279-c830-e733-321132d18b8b;PCI Nanofug, PCI Nanofug Premium / 1kg;;;1200;;;;;true;false;false;true
285ae869-97d4-4032-8269-767c9371e71f;00.03.000;PCI Seccoral 1K;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804 / ISO 14025;representative dataset;1;m3;a7492462-5a6e-6b84-5533-e455f94110de;1 kg Seccoral 1K;;;1500;;;;;true;false;false;true
0656d750-b06e-420c-b210-45ac7702d562;00.03.000;PCI Seccoral 2K Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;DIN EN 15804 / ISO 14025;average dataset;1;m3;80b5cc53-63e4-bccf-ce50-c9350174092d;1 kg Seccoral 2K Rapid;;;1200;;;;;true;false;false;true
d8437b43-9f40-42bf-b690-0d5009193103;00.04.000;TecTem Insulation Board Indoor Historic;Dämmstoffe / Blähperlit / Platten;DIN EN 15804 / ISO 14025;specific dataset;1;m3;e12127b7-fdc1-e7cf-cc3c-c038dae7ff8a;1 m³ von TecTem® Insulation Board Indoor Historic;;;138,7;;;;0,00721;true;false;false;false
