UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg; A1-A3 existing; C3 existing; C4 existing; D existing
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;m3;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²) Additional Info from Xml: Die deklarierten Betonsteine werden nach DIN EN 1338 hergestellt. Der Produktionsprozess ist stark mechanisiert und bei allen Herstellern sehr ähnlich. Der Transport auf die Baustelle erfolgt in der Regel auf Holzpaletten . Die Steine sind dabei mit Kunststoffbändern und / oder Stretch-/Abdeckfolie zu einer Ladeeinheit verpackt. Weitere Informationen auf www.betonstein.org Technische Daten: Die deklarierten Betonpflastersteine sind so hergestellt, dass sie einen ausreichenden Gleit-/Rutschwiderstand aufweisen.Folgende technische Eigenschaften sind im Lieferzustand gem. /DIN EN 1338/ Pflastersteine aus Beton gegeben: Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von    1 m² Betonpflastersteine grau mit Vorsatz mit einem mittleren Flächengewicht von 225 kg/m² und einer Pflastersteindicke von 10 cm.Jedoch werden in dieser EPD zusätzliche Informationen zum möglichen Straßenaufbau, Installationsaufwendungen, Montageverlusten und zur Entsorgung im EPD-Anhang auswiesen.;;225;2250;0,1;;;;true;false;false;false
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;m3;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke Additional Info from Xml: Die deklarierten Produkte sind Pflastersteine unterschiedlicher Formate in der Steinstärke 12 cm. Das Flächengewicht beträgt 270 kg/m² mit einer Edelsplitt-Oberfläche, bestehend aus Grau- und Weißzement mit Sand- und Edelsplittbestandteilen. Die Steine werden nach dem Aushärten durch eine Schleifanlage bzw. danach angeschlossener Sandstrahlanlage in einem oder zwei Schritten bearbeitet. In den Umweltergebnissen enthalten ist die Bearbeitung in zwei Schritten mit Schleifen und Sandstrahlen. Ein EPD-Anhang ermöglicht zusätzlich die getrennte Berechnung der Oberflächenbehandlungen sowie Variationsmöglichkeiten hinsichtlich Dicke des Hinterbetons in 1 cm Stärke-Abständen. Der Beton wird aus Zuschlägen (Gesteinkörnungen) Zement, Wasser, Zusatzmitteln und Zusatzstoffen hergestellt. Die Ökobilanz beinhaltet die Herstellung des Betonpflastersteins inclusive Rohstoffgewinnung, Energiebereitstellung, Rohstofftransport zum Werk sowie Aufwände für die eigentliche Herstellung. Technische Daten: Folgende technische Eigenschaften sind gemäß Leistungserklärung für Pflastersteine aus Beton nach /EN 1338/ im Lieferzustand gegeben: Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m² Betonpflasterstein mit Edelsplittvorsatz und geschliffener und glanzgestrahlter Oberfläche. Die Steindicke beträgt 12 cm mit einem Flächengewicht von 270 kg/m².In einem EPD-Anhang erfolgt die Ausweisung der Umweltergebnisse pro 1 cm Dicke, so dass eine Variation der Steindicke möglich ist. Darüber hinaus sind die Umweltergebnisse für die getrennten Oberflächenbehandlungen Sandstrahlen und Schleifen sowie die Kombination beider pro 1 m² ausgewiesen.;;270;2250;0,12;;;;true;false;false;false
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;m3;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz Additional Info from Xml: Die deklarierten Produkte sind Pflastersteine unterschiedlicher Formate in der Steinstärke 6 cm. Das Flächengewicht beträgt 135 kg/m² mit einer mischfarbigen (melierten) Oberfläche, bestehend aus Weiß- und Grauzement mit Sandbestandteilen, ansonsten unbearbeitet. Der Beton wird aus Zuschlägen (Gesteinkörnungen) Zement, Wasser, Zusatzmitteln und Zusatzstoffen hergestellt. Für den Kernbeton wird nur Grauzement verwendet. Im Gegensatz dazu enthält der Vorsatz aufgrund der Schwarz-Weiß-Melierung teilweise Weißzement und zusätzlich Grauzement unter Zugabe von Pigmenten. Die Ökobilanz beinhaltet die Herstellung des Betonpflastersteins inclusive Rohstoffgewinnung, Energiebereitstellung, Rohstofftransport zum Werk sowie Aufwände für die eigentliche Herstellung. Technische Daten: Folgende technische Eigenschaften sind gemäß Leistungserklärung für Pflastersteine aus Beton nach /EN 1338/ im Lieferzustand gegeben: Deklarierte Einheit: Die Deklaration bezieht sich auf die Herstellung von 1 m² Betonpflasterstein mit schwarz-weiß meliertem Vorsatz und einer Steindicke von 6 cm. Das Flächengewicht beträgt 135 kg/m².In einem EPD-Anhang erfolgt die Ausweisung der Umweltergebnisse pro 1 cm Dicke, so dass eine Variation der Steindicke möglich ist. Darüber hinaus sind die Umweltergebnisse für die Oberflächenbehandlungen Sandstrahlen und Schleifen sowie die Kombination beider pro 1 m² ausgewiesen.;;135;2250;0,06;;;;true;false;false;false
daa6924a-a78e-4457-864a-8613ad441f17;00.03.000;Brillux Dolomit ELF 900;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;m3;b51ee2bc-fd63-d2e9-88e9-89e604984e19;1 kg Brillux Dolomit ELF 900 Additional Info from Xml: Brillux Dolomit ELF 900 ist eine stumpfmatte, emissionsarme, lösemittel- und weichmacherfreie Innendispersionsfarbe mit sehr gutem Deckvermögen und langer Offenzeit. Ausgezeichnet vom /TÜV SÜD/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Dolomit ELF 900. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1500;;;;;true;false;false;false
fab730b2-0b23-4cc8-9543-39caed1db530;00.04.000;Brillux Evocryl 200;Beschichtungen / Fassadenfarben / Dispersion;specific dataset;1;m3;7a6913a6-dda6-62a4-5335-fa10ad49f399;1 kg Brillux Evocryl 200 Additional Info from Xml: Brillux Evocryl 200 ist eine matte,wasserverdünnbare Reinacrylat-Fassadenfarbe. Sie ist fotokatalytisch wirksam, hoch wetterbeständig, verschmutzungsunempfindlich und CO2 diffusionsgeprüft (>50 m) nach DIN EN 1062-6. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Evocryl 200. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1300;;;;;true;false;false;false
ebb1b66d-c4b3-4fc8-bdab-2037ec1226b2;00.03.000;Brillux Glemalux ELF 1000;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;m3;bce9968d-de8b-c53c-13bf-e85ae93a8fd0;1 kg Brillux Glemalux ELF 1000 Additional Info from Xml: Brillux Glemalux ELF 1000 ist eine stumpfmatte, wasserdampfdiffusionsfähige, emissionsarme, lösemittel- und weichmacherfreie Innendispersionsfarbe mit hohem Deckvermögen und langer Offenzeit. Ausgezeichnet vom /TÜV SÜD/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Glemalux ELF 1000. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1500;;;;;true;false;false;false
346f481f-c669-41fa-b69c-d16c7b21bd30;00.03.000;Brillux Latexfarbe ELF 992;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;m3;2dde145e-a37d-19df-f367-9632e33b5208;1 kg Brillux Latexfarbe ELF 992 Additional Info from Xml: Brillux Latexfarbe ELF 992 ist eine seidenglänzende, gut deckende, emissionsarme, lösemittel- und weichmacherfreie Innendispersionsfarbe. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Ausgezeichnet vom /TÜV SÜD/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung der Polymerbindemittel. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Latexfarbe ELF 992. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1300;;;;;true;false;false;false
a95d0d3b-06e9-436d-a255-1f4d2dfd2077;00.03.000;Brillux Sensocryl ELF 266;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;m3;ca7fe179-360b-1c28-8e77-625b4717c2ed;1 kg Brillux Sensocryl ELF 266 Additional Info from Xml: Brillux Sensocryl ELF 266 ist eine stumpfmatte, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Beständig gegen wässrige, nicht alkoholbasierte Desinfektionsmittel. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischem Bindemittel, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 266. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1400;;;;;true;false;false;false
ea6b23bb-6df2-4692-8999-4b81d0a1990c;00.03.000;Brillux Sensocryl ELF 267;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;m3;33fbf59a-2726-b8b2-0d9c-91a83d60b34e;1 kg Brillux Sensocryl ELF 267 Additional Info from Xml: Brillux Sensocryl ELF 267 ist eine seidenmatte, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischen Bindemitteln, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 267. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1350;;;;;true;false;false;false
66dd0bed-23da-474c-abc0-96fa3c36004a;00.03.000;Brillux Sensocryl ELF 268;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;m3;1acc30f4-8f97-003d-d3ea-9cc4024f500c;1 kg Brillux Sensocryl ELF 268 Additional Info from Xml: Brillux Sensocryl ELF 268 ist eine seidenglänzende, emissionsarme, lösemittel- und weichmacherfreie Reinacrylat-Innendispersionsfarbe. Sie ist geruchsneutral, gut deckend und diffusionsfähig. Das WKI Fraunhofer-Institut hat die Desinfektionsmittelbeständigkeit in Anlehnung der /DIN EN ISO 2812-1/ attestiert. Die Reinigungsfähigkeit ist nach /KIMW 004/ vom Kunststoff Institut Lüdenscheid auf verschiedenen Untergründen geprüft. Ausgezeichnet vom /TÜV Süd/ mit dem TÜV Gütezeichen >> Emissionsarm, Schadstoffgeprüft und Produktion überwacht <<. Es handelt sich um ein werkseitig hergestelltes flüssiges Gemisch mit organischen Bindemitteln, mineralischen Füllstoffen, Pigmenten, Wasser und Zusatzstoffen. Die Verfestigung erfolgt durch Trocknung und Verfilmung des Polymerbindemittels. Deklarierte Einheit: Die Deklaration bezieht sich auf 1 kg Brillux Sensocryl ELF 268. Da Farben nach Volumen (Liter) verkauft werden, ist nachfolgend der Verbrauch volumenbezogen angegeben.;;;1300;;;;;true;false;false;false
