UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;A1-A3;5,18;7,59E-08;0,00281;0,0167;0,0142;0,0131;118;7,75;1,46;9,22;81,3;43,2;124;0,0805;0;0;1,86;7,31E-05;0,259;0,00205;0;0;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;C3;0,0123;8,74E-12;2,36E-06;3,43E-05;3,07E-06;3,82E-09;0,133;0,0601;0;0,0601;0,215;0;0,215;0;0;0;9,27E-05;0;0,000129;3,24E-05;0;1,67;0;0;0
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;D;-3,44;-9,53E-10;-0,00228;-0,00544;-0,0008;-1,42E-05;-80,3;-5,94;0;-5,94;-86,7;0;-86,7;0;0;0;-0,0148;0;-0,0323;-0,00254;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;A1-A3;3,11;5,96E-09;0,000965;0,00633;0,000848;2,24E-06;92,1;5,49;1,31;6,8;46,1;50,6;96,7;0,11;0;0;0,1;0;0,0952;0,00173;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;C3;0,0142;1,01E-11;2,72E-06;3,95E-05;3,53E-06;4,63E-09;0,154;0,0692;0;0,0692;0,247;0;0,247;0;0;0;0,000107;0;0,000149;3,73E-05;0;1,92;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;qm;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;D;-1,77;-2,24E-11;-0,000644;-0,00282;-0,000291;-5,76E-07;-67,1;-1,86;0;-1,86;-68,2;0;-68,2;0;0;0;-0,00721;0;-0,00736;-0,000451;0;0;0;0;0
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;qm;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;;;;0,0044;A1-A3;25,1;4,79E-10;0,00311;0,0366;0,00496;3,56E-05;115;23,4;0;23,4;131;0;131;8,48;0;0;0,0869;0,00031;6,96;0,00649;0;0;0;0;0
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;qm;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;;;;0,0037;A1-A3;49,8;1,21E-09;0,00729;0,076;0,0104;7,45E-05;260;40;21;61;285;11;296;6,26;0;0;0,13;0,0256;4,74;0,0142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;;;;0,0074;A1-A3;18,1;9,12E-10;0,00271;0,0295;0,00389;2,77E-05;98,4;11,9;11,5;23,4;110,3;0,7;111;3,68;0;0;0,07;0,0003;2,04;0,00505;0;0;0;0;0
ba0e47ef-b04a-4bbb-bc9d-dafc7b72edc2;00.04.000;Dachziegel Neufahrn;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1;null;c0b0efd4-5da0-5228-5d9a-4d9c594a0dfb;Tondachziegel;;46;2020;;;;;A1-A3;0,2973;5,21E-12;3,99E-05;0,000467;4,7000000000000004E-05;5,21E-08;4,699;0,4362;0;0,4362;4,973;0;4,973;0,00036780000000000005;0;0;0,00046100000000000004;0,000283;0,0219;0,0001093;0;0;0;0;0
