UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
825fc872-5d02-40f2-a68b-fe71f11a817d;00.04.000;Calciumsulfat-Fließestrich und Konventioneller Calciumsulfatestrich;Mineralische Baustoffe / Bindemittel / Gips;average dataset;1;kg;8cfda20d-de86-73b5-6aa7-cbc095783246;1 kg Estrich (trocken, vor Wasserzugabe);;;1500;;;;;A1-A3;0,111;7,08E-12;1,18E-05;0,000173;2,52E-05;3,75E-08;1,18;0,165;0;0,165;0,913;0;0,913;0;0;0;0,168;6,32E-07;0,352;5,9E-05;0;0;0;0;0
825fc872-5d02-40f2-a68b-fe71f11a817d;00.04.000;Calciumsulfat-Fließestrich und Konventioneller Calciumsulfatestrich;Mineralische Baustoffe / Bindemittel / Gips;average dataset;1;kg;8cfda20d-de86-73b5-6aa7-cbc095783246;1 kg Estrich (trocken, vor Wasserzugabe);;;1500;;;;;A4;0,00455;5,61E-15;-3,3E-06;1,15E-05;3,23E-06;2,35E-10;0,062;0,00474;0;0,00474;0,0622;0;0,0622;0;0;0;0,000297;5,01E-08;0,000417;8,27E-08;0;0;0;0;0
825fc872-5d02-40f2-a68b-fe71f11a817d;00.04.000;Calciumsulfat-Fließestrich und Konventioneller Calciumsulfatestrich;Mineralische Baustoffe / Bindemittel / Gips;average dataset;1;kg;8cfda20d-de86-73b5-6aa7-cbc095783246;1 kg Estrich (trocken, vor Wasserzugabe);;;1500;;;;;A5;2,88E-05;3,26E-16;3,43E-09;4,4E-08;6,39E-09;1,93E-11;0,000292;0,000104;0;0,000104;0,000378;0;0,000378;0;0;0;5,46E-05;3,64E-10;1,64E-08;3,44E-08;0;0;0;0;0
d2e01b0a-bfdf-412a-996e-20d592df0d5f;00.02.000;Durchschnittlicher Zement D;Mineralische Baustoffe / Bindemittel / Zement;average dataset;1000;kg;c0cf6e0d-69ee-7e28-2b64-f034ccda2b85;1 t Zement;;;;;;;0,001;A1-A3;587;2,03E-07;0,12;0,75;0,187;0,00416;1830;360;0;360;2050;0;2050;16,5;669;1274;2;0,0006;2,62;0,088;0;0;0;0;0
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;A1-A3;11,3813;-2,76298E-08;0,00411894;0,0303414;0,00191356;0,000188855;130,592;26,2207;0,093678;26,325;144,098;0,000466275;144,098;0,11633;0;0;0;0,00013701;38,8414;0,00570258;0;0;0;0;0
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;A4;0,0460625;5,95504E-14;-3,30262E-05;0,000118027;3,3303E-05;2,4918E-09;0,658091;0,0503718;9,19629E-14;0,0503718;0,661092;0;0,661092;0;5,38085E-06;5,62116E-05;0;0;0,00443299;8,77905E-07;0;0;0;0;0
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;A5;0,124084;1,6897E-13;-3,89096E-06;-1,75202E-05;3,387E-06;1,66063E-09;-1,19078;0,00554622;2,93457E-13;0,00554622;-1,18093;0;-1,18093;0;-1,90903E-06;-0,000106041;0;0;0,0215663;2,03368E-06;0;0;0;0,255782;0,634071
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;C2;0,013709;1,41079E-14;-1,03539E-05;3,30809E-05;9,23386E-06;5,90368E-10;0,156605;0,0119217;2,18381E-14;0,0119217;0,156773;0;0,156773;0;1,27553E-06;1,33553E-05;0;0;0,00105501;2,08045E-07;0;0;0;0;0
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;C3;0,122955;7,05375E-09;4,31785E-05;0,000549812;0,000351977;3,77176E-07;1,27427;0,150458;0,0163941;0,167152;2,0173;5,12897E-06;2,0173;0;6,83715E-09;7,28096E-08;0;0;0,000392864;1,70756E-07;0;2,12518;0;0,0214174;0,0671191
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;C4;0,0354475;1,73891E-12;1,15305E-05;0,000104233;1,26799E-05;6,52581E-09;0,493681;0,0292811;7,69313E-13;0,0292811;0,514819;0;0,514819;0;0,00035796;0,000754143;0;0;0,758269;8,32389E-06;0;0;0,689963;0;0
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;00.03.000;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;average dataset;1;pcs.;343016d9-0bc2-a060-10f1-da5a25ae6ffa;1 Stück Durchschnittstürschließer inkl. Verpackungsmaterialien;;;;;;;0,39;D;-4,0648;7,76895E-08;-0,00187828;-0,0121124;-0,000499786;-0,000120277;-43,1723;-2,7407;-0,00137435;-2,7407;-43,3353;2,2364E-09;-43,3353;0;-0,000491107;-0,00431418;0;-7,10252E-05;-9,81268;-0,000355207;0;0;0;0;0
a5853e02-e83f-4fa1-81d3-b6b44f89ed8e;00.04.000;PCI Gisogrund 404;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;average dataset;1;kg;0f0944ad-1b94-1872-92f5-ba4dccf00d4f;1 kg PCI Gisogrund 404;;;1030;;;;;A1-A3;2,29;5,72E-10;0,0017;0,0241;0,000714;3,09E-06;46,6;2,77;0;2,77;43,8;6,4;50,2;0;0,00266;0,027;0,0124;0,00834;0,362;0,00148;0;0;0;0;0
a5853e02-e83f-4fa1-81d3-b6b44f89ed8e;00.04.000;PCI Gisogrund 404;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;average dataset;1;kg;0f0944ad-1b94-1872-92f5-ba4dccf00d4f;1 kg PCI Gisogrund 404;;;1030;;;;;A4;0,0246;5,14E-13;-6,81E-05;0,000162;4,03E-05;1,14E-09;0,337;0;0;0,02;0;0;0,338;0;2,51E-06;2,63E-05;1,93E-05;0;6,68E-05;4,85E-07;0;0;0;0;0
a5853e02-e83f-4fa1-81d3-b6b44f89ed8e;00.04.000;PCI Gisogrund 404;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;average dataset;1;kg;0f0944ad-1b94-1872-92f5-ba4dccf00d4f;1 kg PCI Gisogrund 404;;;1030;;;;;A5;0,159;1E-12;0,028;1,68E-05;3,44E-06;2,09E-09;0,0287;0;0;0,00291;0;0;0,033;0;5,11E-07;5,34E-06;0,000381;0,000777;1,53E-05;1,76E-06;0;0;0;0,24;0,577
a5853e02-e83f-4fa1-81d3-b6b44f89ed8e;00.04.000;PCI Gisogrund 404;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;average dataset;1;kg;0f0944ad-1b94-1872-92f5-ba4dccf00d4f;1 kg PCI Gisogrund 404;;;1030;;;;;D;-0,0786;-2,38E-11;-9,99E-06;-0,000109;-1,22E-05;-8,14E-09;-1,04;0;0;-0,114;0;0;-1,2;0;-1,73E-05;-0,000182;-0,000178;0;-0,00045;-6,82E-05;0;0;0;0;0
